season,team,conference,name,number,class,position,height,gp,gs,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,pts,bhe,trpl_dbl
2023,Utah Valley,WAC,Eliza Hakes,18,So.,OH,6-0,2,0,3,1,2,4,-0.25,0,0,0,2,1,0,0,0,0,1,0,0
2023,Utah Valley,WAC,Abbie Medeiros,4,Sr.,S,5-8,29,28,109,21,10,91,0.121,611,26,34,192,5,0,0,2,0,48,8,0
2023,Utah Valley,WAC,Hailey Cuff,19,Sr.,OH,6-0,29,29,99,180,120,519,0.116,14,22,22,159,782,59,5,36,0,225,0,0
2023,Utah Valley,WAC,Jules Fink,10,Jr.,MB,6-2,1,0,1,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
2023,Utah Valley,WAC,Kendra Nock,17,Jr.,MB,6-4,28,20,82,80,22,222,0.261,3,2,4,13,2,0,7,82,1,130,0,0
2023,Utah Valley,WAC,Avery Shewell,5,So.,OH,6-1,29,29,109,347,116,895,0.258,11,37,52,238,479,27,9,71,8,428.5,0,0
2023,Utah Valley,WAC,Lani Matavao,8,Fr.,L/DS,5-6,27,0,103,1,2,18,-0.056,106,20,18,376,606,54,0,0,0,21,3,0
2023,Utah Valley,WAC,Caleigh Vagana,15,Sr.,MB,5-11,27,24,92,92,27,267,0.243,5,1,11,32,13,1,7,121,1,160.5,0,0
2023,Utah Valley,WAC,Vittoria Price,16,Sr.,MB,6-2,22,14,63,77,30,177,0.266,2,1,6,17,8,2,6,56,5,112,0,0
2023,Utah Valley,WAC,Kalea Kennedy,20,Sr.,OH,6-0,29,0,93,126,62,377,0.17,4,0,0,37,0,0,4,40,3,150,0,0
2023,Utah Valley,WAC,Tori Ellis,2,Sr.,OH,6-4,29,29,107,316,126,761,0.25,4,2,2,59,1,0,11,86,4,372,0,0
2023,Utah Valley,WAC,Madi Standifird,3,Fr.,OH,5-9,21,0,41,13,3,34,0.294,8,5,3,34,102,11,0,0,0,18,0,0
2023,Utah Valley,WAC,Maranda Woolf,1,Fr.,MB,6-2,2,0,2,3,0,4,0.75,0,0,0,0,0,0,0,1,0,3.5,0,0
2023,Utah Valley,WAC,Evalyn Chism,11,Fr.,S,5-10,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Utah Valley,WAC,Molly Cummard,6,Fr.,L/DS,5-4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Utah Valley,WAC,Charity Wilson,7,Jr.,OH,5-10,17,0,33,16,14,64,0.031,0,2,6,32,134,9,1,8,0,23,1,0
2023,Utah Valley,WAC,Grace Morrill,14,Jr.,L/DS,5-4,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2023,North Ala.,ASUN,Lucy Wedding,9,So.,OH,5-10,9,1,14,11,2,31,0.29,0,1,4,12,24,2,0,2,0,13,0,0
2023,North Ala.,ASUN,Elif Ozsoy,7,Jr.,S,6-2,20,5,74,4,1,22,0.136,338,24,36,112,1,0,0,2,0,29,16,0
2023,North Ala.,ASUN,Hayley Martin,21,So.,OH,5-11,20,9,63,113,51,282,0.22,0,0,0,12,8,0,0,25,4,125.5,1,0
2023,North Ala.,ASUN,Katy Floyd,12,Jr.,OH,6-0,26,21,83,199,79,627,0.191,13,26,27,172,583,50,2,12,7,233,2,0
2023,North Ala.,ASUN,Kennedey Johnson,13,Sr.,S,5-10,29,22,109,24,6,73,0.247,633,37,24,226,3,0,0,4,1,63,11,0
2023,North Ala.,ASUN,Katie Gerig,4,Sr.,L/DS,5-6,28,0,78,0,0,5,0,23,22,11,83,55,2,0,0,0,22,0,0
2023,North Ala.,ASUN,Tatum Fouche,3,Jr.,L/DS,5-8,6,0,10,0,0,0,0,0,2,1,4,1,0,0,0,0,2,0,0
2023,North Ala.,ASUN,Brenna Tietz,16,Jr.,OH,6-3,29,16,105,200,76,602,0.206,2,1,0,48,8,1,1,62,5,233,0,0
2023,North Ala.,ASUN,Maggie Sullivan,25,Sr.,MB,6-1,24,22,86,126,32,288,0.326,5,9,5,39,30,2,6,51,7,166.5,1,0
2023,North Ala.,ASUN,Olivia Fenoff,2,Fr.,OH,6-0,12,8,32,67,34,246,0.134,7,9,14,55,231,24,0,5,0,78.5,1,0
2023,North Ala.,ASUN,Meredith Brown,15,Fr.,MB,6-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,North Ala.,ASUN,Luana Bulara,10,Sr.,L/DS,5-4,26,0,95,3,4,12,-0.083,100,19,29,434,399,24,0,0,0,22,0,0
2023,North Ala.,ASUN,Avery Markham,8,Fr.,OH,6-0,28,28,105,164,75,561,0.159,7,24,29,259,653,45,0,16,0,196,0,0
2023,North Ala.,ASUN,Mattrice Harris,24,Sr.,MH,6-1,10,7,26,40,11,81,0.358,2,6,5,6,1,0,1,19,3,56.5,0,0
2023,North Ala.,ASUN,Lexi Pendleton,11,Fr.,OH,6-0,10,3,31,7,5,33,0.061,127,7,7,43,0,0,0,2,0,15,6,0
2023,North Ala.,ASUN,Nicole Sargent,14,Fr.,OH,6-1,20,3,70,90,44,265,0.174,4,2,0,36,25,6,4,25,1,108.5,1,0
2023,North Ala.,ASUN,Anna Katherine Griggs,6,Sr.,MB,6-2,29,29,109,304,57,576,0.429,3,1,1,25,17,1,12,85,4,359.5,1,0
2023,California Baptist,WAC,Anna Jackson,14,Jr.,OPP,6-1,8,0,10,6,5,20,0.05,1,0,0,3,0,0,0,1,0,6.5,0,0
2023,California Baptist,WAC,Alexa Niko,16,So.,OPP,6-1,16,0,59,96,40,260,0.215,2,0,0,27,3,0,3,26,2,112,1,0
2023,California Baptist,WAC,Jennifer Blessing,10,Sr.,L,5-8,11,0,29,0,1,2,-0.5,16,4,8,40,58,7,0,0,0,4,0,0
2023,California Baptist,WAC,Brianna Young,17,So.,L,5-9,19,0,70,4,2,18,0.111,71,9,7,261,352,29,0,0,0,13,1,0
2023,California Baptist,WAC,Ashlyn Nevrla,9,Sr.,MB,6-0,2,0,2,1,1,4,0,0,0,0,0,0,0,0,1,0,1.5,0,0
2023,California Baptist,WAC,Laura Walewska,12,Jr.,MB,6-2,28,28,107,149,38,317,0.35,1,4,8,17,4,0,11,75,7,201.5,4,0
2023,California Baptist,WAC,Michalina Rola,18,Sr.,OH,5-11,28,28,108,350,137,1098,0.194,13,46,29,260,794,42,2,24,0,410,0,0
