gp,gs,number,name,class,position,height,hometown,high_school,team,conference,season,yr,pos,ht,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,pts,bhe,trpl_dbl
26,26,17,Kayla Anstett,Jr.,MB,6-0,"Rochester, NY",Hilton,Le Moyne,NEC,2024,Jr,MB,6-0,87,96,38,263,0.221,6,13,23,31,3,NA,15,33,8,140.5,NA,NA
26,3,2,Branwyn Lupton,So.,OH,5-11,"Napanee, Canada",Napanee District Secondary School,Le Moyne,NEC,2024,So,OH,5-11,90,179,137,479,0.088,4,NA,NA,20,6,NA,8,28,3,201,NA,NA
21,2,10,Haley Buescher,So.,L/DS,5-5,"Toledo, OH",St. Ursula Academy,Le Moyne,NEC,2024,So,L/DS,5-5,52,0,1,12,-0.083,10,21,31,77,161,15,NA,NA,NA,21,NA,NA
0,0,21,Jules Mason,Fr.,S,5-10,"San Diego, CA",The Bishop's School,Le Moyne,NEC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,3,3,Skylar Jehlen,Fr.,S,5-7,"North Chili, NY",Churchville-Chili,Le Moyne,NEC,2024,Fr,S,5-7,84,8,3,33,0.152,310,30,31,87,1,NA,NA,NA,NA,38,3,NA
26,23,5,Denali Louden,Fr.,OH,5-11,"Murrieta, CA",Murrieta Mesa,Le Moyne,NEC,2024,Fr,OH,5-11,83,138,96,472,0.089,13,29,29,151,392,52,4,16,3,179,NA,NA
12,2,15,Piper Hooey,Fr.,OH,5-9,"Elmira, NY",Elmira,Le Moyne,NEC,2024,Fr,OH,5-9,19,6,8,45,-0.044,1,3,7,8,42,6,NA,NA,NA,9,NA,NA
26,21,8,Nina Salas,Fr.,OH,5-7,"Austin, TX",McNeil,Le Moyne,NEC,2024,Fr,OH,5-7,89,128,82,484,0.095,4,NA,2,38,72,5,3,17,4,139.5,1,NA
8,0,9,Jazmin Rodriguez,Fr.,OH,5-10,"Madera, CA",Madera,Le Moyne,NEC,2024,Fr,OH,5-10,14,6,10,34,-0.118,NA,NA,2,4,11,1,NA,3,2,7.5,NA,NA
15,0,13,Cami Zajac,Fr.,L/DS,5-7,"Syracuse, KS",West Genesee,Le Moyne,NEC,2024,Fr,L/DS,5-7,23,1,0,4,0.25,2,4,4,14,32,4,NA,NA,NA,5,NA,NA
25,21,20,Anaya Rawlinson,Fr.,MH,6-1,"Whitby, Canada",Sinclair Secondary School,Le Moyne,NEC,2024,Fr,MH,6-1,80,133,48,295,0.288,6,7,19,17,3,NA,11,42,5,172,NA,NA
26,0,4,Brooke Menke,Fr.,L/DS,5-6,"Florissant, MO",Visitation Academy,Le Moyne,NEC,2024,Fr,L/DS,5-6,88,2,0,16,0.125,64,25,35,227,684,60,NA,NA,NA,27,NA,NA
1,0,19,Payton Horan,Fr.,OH,5-9,"Miller Place, NY",Miller Place,Le Moyne,NEC,2024,Fr,OH,5-9,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,26,6,Jordyn Hamlin,Fr.,OH,5-7,"Manahawkin, NJ",Southern Regional,Le Moyne,NEC,2024,Fr,OH,5-7,88,180,115,597,0.109,8,18,20,172,415,28,NA,15,2,205.5,NA,NA
26,23,12,Haley Gerken,Jr.,S,5-7,"Buffalo, NY",Frontier,Le Moyne,NEC,2024,Jr,S,5-7,90,4,1,45,0.067,404,24,37,147,6,1,NA,4,NA,30,1,NA
13,6,7,Nil Ezgi Tasdelen,Jr.,MB,6-0,,Ugur Okullari,Le Moyne,NEC,2024,Jr,MB,6-0,23,14,8,39,0.154,1,NA,NA,4,1,NA,1,8,1,19,NA,NA
13,6,2,Alyvia Jaffa,Fr.,MB,6-3,"Morgan, UT",Morgan HS,Utah Valley,WAC,2024,Fr,MB,6-3,40,59,22,117,0.316,NA,NA,NA,9,4,1,2,36,3,79,NA,NA
