season,team,conference,name,number,class,position,feet,inches,hometown,high_school,gp,gs,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,pts,bhe,trpl_dbl
2025,Le Moyne,NEC,Eiley Schneider,11,Fr.,MH,6,3,"Ramsey, NJ",Ramsey High School,26,26,91,52,17,155,0.226,3,4,10,15,6,1,8,64,5,96,0,0
2025,Le Moyne,NEC,Piper Hooey,15,So.,OH,5,9,"Elmira, NY",Elmira,18,2,33,32,14,92,0.196,1,4,12,10,87,6,0,7,2,39.5,0,0
2025,Le Moyne,NEC,Haley Gerken,12,Sr.,S,5,7,"Buffalo, NY",Frontier,28,28,98,17,2,57,0.263,532,18,20,155,4,0,0,7,1,38.5,2,0
2025,Le Moyne,NEC,Jules Mason,21,So.,S,5,10,"San Diego, CA",The Bishop's School,4,0,5,0,0,0,0,14,0,3,8,0,0,0,0,0,0,0,0
2025,Le Moyne,NEC,Cami Zajac,13,So.,L/DS,5,7,"Syracuse, KS",West Genesee,23,0,54,0,0,1,0,4,9,8,25,35,8,0,0,0,9,0,0
2025,Le Moyne,NEC,Brooke Menke,4,So.,L/DS,5,6,"Florissant, MO",Visitation Academy,25,1,88,3,1,15,0.133,63,34,43,316,711,70,0,0,0,37,0,0
2025,Le Moyne,NEC,Nil Ezgi Tasdelen,7,Sr.,MB,6,0,,Ugur Okullari,28,27,93,64,30,197,0.173,14,3,17,22,6,2,10,51,7,102.5,1,0
2025,Le Moyne,NEC,Jordyn Hamlin,6,So.,OH,5,7,"Manahawkin, NJ",Southern Regional,8,8,29,86,44,287,0.146,6,12,6,60,179,13,2,3,0,101.5,0,0
2025,Le Moyne,NEC,Denali Louden,5,So.,OH,5,11,"Murrieta, CA",Murrieta Mesa,18,14,59,130,70,418,0.144,14,9,29,129,265,23,1,8,0,144,0,0
2025,Le Moyne,NEC,Haley Buescher,10,Jr.,L/DS,5,5,"Toledo, OH",St. Ursula Academy,22,0,60,0,0,8,0,13,12,22,86,185,17,0,1,0,12.5,0,0
2025,Le Moyne,NEC,Payton Horan,19,So.,OH,5,9,"Miller Place, NY",Miller Place,20,3,47,53,37,173,0.092,1,0,0,8,14,2,1,20,0,64,0,0
2025,Le Moyne,NEC,Skylar Jehlen,3,So.,S,5,7,"North Chili, NY",Churchville-Chili,28,0,92,2,1,18,0.056,246,18,37,103,3,2,0,0,0,20,1,0
2025,Le Moyne,NEC,Jazmin Rodriguez,9,So.,OH,5,10,"Madera, CA",Madera,26,8,80,96,65,319,0.097,3,2,3,28,29,5,2,21,5,110.5,0,0
