team,short_name,conference,season,jersey,player,yr,pos,feet,inches,gp,gs,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,pts,bhe,trpl_dbl,playerstatsurl,school,matchstatsurl,url
Nebraska Huskers,Nebraska,Big Ten,2024,11,Leyla Blackwell,Sr,MB,6,4,13,4,23,54,11,103,0.417,4,0,0,4,5,0,2,27,1,69.5,0,0,https://stats.ncaa.org/teams/585290/season_to_date_stats,Nebraska Huskers,https://stats.ncaa.org/players/8446302,https://stats.ncaa.org/teams/585290
Nebraska Huskers,Nebraska,Big Ten,2024,12,Taylor Landfair,Sr,OH,6,5,33,20,88,219,90,600,0.215,3,1,3,44,73,3,1,49,3,245.5,1,0,https://stats.ncaa.org/teams/585290/season_to_date_stats,Nebraska Huskers,https://stats.ncaa.org/players/8446302,https://stats.ncaa.org/teams/585290
Nebraska Huskers,Nebraska,Big Ten,2024,13,Merritt Beason,Sr,OH,6,4,36,36,122,339,133,883,0.233,16,30,37,150,17,1,6,104,8,427,0,0,https://stats.ncaa.org/teams/585290/season_to_date_stats,Nebraska Huskers,https://stats.ncaa.org/players/8446302,https://stats.ncaa.org/teams/585290
Nebraska Huskers,Nebraska,Big Ten,2024,7,Maisie Boesiger,Jr,L/DS,5,6,9,0,13,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,https://stats.ncaa.org/teams/585290/season_to_date_stats,Nebraska Huskers,https://stats.ncaa.org/players/8446302,https://stats.ncaa.org/teams/585290
Nebraska Huskers,Nebraska,Big Ten,2024,8,Lexi Rodriguez,Sr,L/DS,5,5,36,0,122,0,0,8,0,127,17,23,473,431,16,0,0,0,17,0,0,https://stats.ncaa.org/teams/585290/season_to_date_stats,Nebraska Huskers,https://stats.ncaa.org/players/8446302,https://stats.ncaa.org/teams/585290
Nebraska Huskers,Nebraska,Big Ten,2024,9,Kennedi Orr,Sr,S,6,0,35,0,112,0,0,1,0,2,10,23,63,0,0,0,0,0,10,0,0,https://stats.ncaa.org/teams/585290/season_to_date_stats,Nebraska Huskers,https://stats.ncaa.org/players/8446302,https://stats.ncaa.org/teams/585290
Nebraska Huskers,Nebraska,Big Ten,2024,22,Lindsay Krause,Sr,OH,6,4,24,12,50,120,43,336,0.229,2,15,12,33,54,3,3,23,3,149.5,0,0,https://stats.ncaa.org/teams/585290/season_to_date_stats,Nebraska Huskers,https://stats.ncaa.org/players/8446302,https://stats.ncaa.org/teams/585290
Nebraska Huskers,Nebraska,Big Ten,2024,5,Rebekah Allick,Jr,MB,6,4,35,34,109,198,57,395,0.357,9,0,0,34,5,1,19,137,13,285.5,0,0,https://stats.ncaa.org/teams/585290/season_to_date_stats,Nebraska Huskers,https://stats.ncaa.org/players/8446302,https://stats.ncaa.org/teams/585290
Nebraska Huskers,Nebraska,Big Ten,2024,2,Bergen Reilly,So,S,6,1,36,36,122,81,14,175,0.383,1352,21,37,348,4,0,3,59,8,134.5,0,0,https://stats.ncaa.org/teams/585290/season_to_date_stats,Nebraska Huskers,https://stats.ncaa.org/players/8446302,https://stats.ncaa.org/teams/585290
Nebraska Huskers,Nebraska,Big Ten,2024,6,Laney Choboy,So,L/DS,5,3,36,0,121,0,0,3,0,36,0,1,185,311,10,0,0,0,0,0,0,https://stats.ncaa.org/teams/585290/season_to_date_stats,Nebraska Huskers,https://stats.ncaa.org/players/8446302,https://stats.ncaa.org/teams/585290
