season,team,conference,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,r_err,block_solos,block_assists,b_err,pts,bhe,srv_att,trpl_dbl,opponent_kills,opponent_errors,opponent_total_attacks,opponent_hit_pct,opponent_assists,opponent_aces,opponent_s_err,opponent_digs,opponent_r_err,opponent_block_solos,opponent_block_assists,opponent_b_err,opponent_pts,opponent_bhe,opponent_srv_att,opponent_trpl_dbl
2021,Bellarmine,ASUN,1200,629,3614,0.158,1117,122,138,1498,161,30,208,33,1456,28,2137,28,1376,513,3653,0.236,1278,161,220,1495,122,53,416,51,1798,30,2338,28
2021,UC San Diego,Big West,1526,707,4435,0.185,1398,135,196,1917,203,67,240,31,1848,19,2529,31,1510,554,4239,0.226,1365,200,212,1857,135,79,461,50,2019.5,38,2669,31
2021,Tarleton St.,WAC,1328,467,3782,0.228,1190,133,111,1642,151,60,359,47,1700.5,47,2394,29,1488,596,4059,0.22,1359,151,234,1696,133,45,226,27,1797,34,2322,29
2021,Louisiana,Sun Belt,1294,472,3570,0.23,1199,154,154,1638,130,54,304,39,1654,39,1412,16,1272,533,3682,0.201,1187,130,199,1577,154,65,172,40,1553,54,1303,16
2021,Stanford,Pac-12,1590,494,3903,0.281,1481,142,279,1565,132,41,491,51,2018.5,21,2563,30,1475,588,3899,0.227,1363,132,205,1555,142,45,417,62,1860.5,20,2429,30
2021,SFA,WAC,1329,464,3713,0.233,1221,145,163,1638,115,63,379,32,1726.5,26,2356,29,1371,602,3887,0.198,1251,115,215,1649,145,41,269,42,1661.5,30,2183,29
2021,Stetson,ASUN,1295,574,3861,0.187,1229,114,108,1770,149,96,277,38,1643.5,32,2314,29,1430,632,4075,0.196,1337,149,195,1744,114,60,358,55,1818,32,2311,29
2021,Stony Brook,America East,1228,488,3543,0.209,1130,143,196,1515,122,28,258,44,1528,41,2118,27,1165,523,3448,0.186,1081,122,164,1496,143,27,301,39,1464.5,30,2053,27
2021,Syracuse,ACC,1477,506,3640,0.267,1351,133,196,1503,98,81,376,48,1879,31,2438,30,1421,573,3850,0.22,1296,98,191,1380,133,57,243,22,1697.5,26,2300,30
2021,Temple,The American,1395,642,4159,0.181,1298,134,169,1623,147,48,352,39,1753,68,2406,31,1668,594,4225,0.254,1532,147,196,1824,133,47,420,36,2072,23,2717,31
2021,Tennessee St.,OVC,1266,595,3708,0.181,1158,113,136,1638,151,42,362,39,1602,40,2245,26,1309,614,3903,0.178,1193,151,188,1528,113,35,286,27,1638,14,2280,26
2021,Tennessee Tech,OVC,1488,666,4013,0.205,1363,151,269,1572,156,50,444,44,1911,26,2485,29,1398,633,3941,0.194,1274,156,161,1581,151,50,416,43,1812,28,2540,29
2021,Chattanooga,SoCon,1350,584,4245,0.18,1232,135,170,1952,183,49,361,47,1714.5,36,2415,30,1586,654,4468,0.209,1439,183,202,2038,135,59,328,37,1992,30,2580,30
2021,Tennessee,SEC,1542,503,3837,0.271,1412,113,207,1666,99,64,529,34,1983.5,18,2513,27,1383,633,3956,0.19,1275,99,204,1562,113,48,323,24,1691.5,18,2263,27
2021,UT Martin,OVC,1486,700,4418,0.178,1349,151,168,1856,136,47,442,49,1905,31,2548,30,1532,646,4321,0.205,1437,136,244,1921,151,48,386,47,1909,53,2522,30
2021,Texas A&M,SEC,1375,616,3877,0.196,1272,127,216,1751,179,39,321,45,1701.5,18,2291,27,1288,498,3750,0.211,1180,179,254,1622,127,47,386,40,1707,13,2335,27
2021,TCU,Big 12,1191,595,3291,0.181,1107,109,214,1264,132,32,391,29,1527.5,15,2033,26,1175,478,3139,0.222,1062,132,207,1241,109,43,453,30,1576.5,21,2139,26
2021,Texas Southern,SWAC,1088,605,3867,0.125,981,148,158,1682,194,43,138,22,1348,72,2115,29,1300,497,3883,0.207,1179,194,197,1791,148,51,253,29,1671.5,35,2480,29
2021,Texas Tech,Big 12,1456,549,4024,0.225,1307,125,183,1701,133,70,418,37,1860,21,2544,30,1520,685,4196,0.199,1370,134,213,1740,125,63,342,18,1888,28,2432,30
