season,team,short_name,conference,s,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,pts,bhe,trpl_dbl
2024,Nebraska Huskers,Nebraska,Big Ten,122,1721,551,4114,0.284,1596,155,193,1856,1920,81,51,581,50,2217.5,1,36
2024,Penn St. Nittany Lions,Penn St.,Big Ten,135,1972,648,4673,0.283,1841,203,324,1994,2420,140,62,545,30,2509.5,4,37
2024,Pittsburgh Panthers,Pittsburgh,ACC,117,1647,447,3619,0.332,1542,225,215,1486,1838,106,55,547,23,2200.5,0,35
2024,Louisville Cardinals,Louisville,ACC,127,1707,600,4096,0.27,1588,175,274,1786,2177,127,93,600,54,2275,4,36
2024,Stanford Cardinal,Stanford,ACC,115,1656,479,3746,0.314,1558,191,381,1538,2003,96,38,457,54,2113.5,4,33
2024,Creighton Bluejays,Creighton,Big East,117,1684,453,3799,0.324,1565,224,265,1676,1862,90,50,529,43,2222.5,6,35
2024,Wisconsin Badgers,Wisconsin,Big Ten,120,1657,486,4090,0.286,1562,183,280,1785,2161,121,39,661,57,2209.5,4,33
2024,Kentucky Wildcats,Kentucky,SEC,110,1525,528,3680,0.271,1440,203,394,1351,2006,102,44,374,38,1959,1,30
2024,Texas Longhorns,Texas,SEC,99,1356,445,3233,0.282,1263,137,220,1315,1765,112,50,399,32,1742.5,1,27
2024,SMU Mustangs,SMU,ACC,119,1530,536,3727,0.267,1416,200,343,1439,2092,143,46,558,29,2055,0,33
2024,Arizona St. Sun Devils,Arizona St.,Big 12,112,1570,487,3987,0.272,1457,186,278,1809,1894,86,59,376,43,2003,1,33
2024,Dayton Flyers,Dayton,Atlantic 10,114,1592,491,3761,0.293,1467,214,235,1679,1900,145,44,454,48,2077,2,34
2024,Purdue Boilermakers,Purdue,Big Ten,118,1683,509,4191,0.28,1568,146,262,1841,2222,114,63,535,85,2159.5,5,34
2024,Kansas Jayhawks,Kansas,Big 12,108,1556,454,3894,0.283,1450,134,195,1740,1990,97,52,458,35,1971,4,30
2024,Utah Utes,Utah,Big 12,111,1551,507,4035,0.259,1428,173,287,1687,2112,125,30,468,40,1988,4,31
2024,Marquette Golden Eagles,Marquette,Big East,119,1673,534,4340,0.262,1541,168,249,1939,2222,148,51,343,38,2063.5,3,34
2024,Oregon Ducks,Oregon,Big Ten,117,1554,531,3915,0.261,1442,202,270,1637,2137,171,58,556,49,2092,1,32
2024,Texas A&M Aggies,Texas A&M,SEC,110,1511,585,3636,0.255,1428,136,290,1457,2032,123,50,451,45,1922.5,3,28
2024,TCU Horned Frogs,TCU,Big 12,113,1531,521,4010,0.252,1445,156,234,1769,2103,148,47,412,36,1940,0,30
2024,Baylor Bears,Baylor,Big 12,112,1437,465,3808,0.255,1260,176,255,1672,2004,131,58,408,71,1875,2,31
2024,Missouri Tigers,Missouri,SEC,118,1704,559,4010,0.286,1607,201,296,1718,2153,147,30,359,27,2114.5,1,31
2024,Southern California Trojans,Southern California,Big Ten,122,1597,622,4091,0.238,1469,184,363,1586,2349,164,60,587,37,2134.5,7,32
2024,Florida Gators,Florida,SEC,117,1590,536,3602,0.293,1504,214,308,1440,2113,143,47,431,52,2066.5,5,30
2024,BYU Cougars,BYU,Big 12,113,1464,517,3663,0.259,1340,164,257,1420,2127,180,70,447,42,1921.5,4,29
2024,Minnesota Golden Gophers,Minnesota,Big Ten,122,1581,560,4226,0.242,1441,181,262,1869,2235,171,31,594,41,2090,1,32
2024,Georgia Tech Yellow Jackets,Georgia Tech,ACC,119,1602,620,4157,0.236,1509,175,225,1781,2136,99,34,329,38,1975.5,2,31
2024,North Carolina Tar Heels,North Carolina,ACC,115,1573,612,3874,0.248,1470,200,310,1603,2172,131,34,396,34,2005,4,29
2024,Oklahoma Sooners,Oklahoma,SEC,104,1378,527,3290,0.259,1320,124,255,1244,2030,168,65,460,48,1797,11,25
2024,LMU (CA) Lions,LMU (CA),WCC,121,1578,631,4136,0.229,1471,187,316,1723,2215,119,69,463,53,2065.5,7,31
2024,UNI Panthers,UNI,MVC,118,1732,672,4308,0.246,1607,188,215,1802,2126,110,39,478,31,2198,7,34
2024,Florida St. Seminoles,Florida St.,ACC,117,1568,485,3950,0.274,1446,173,281,1609,2166,122,45,476,19,2024,26,31
2024,Miami (FL) Hurricanes,Miami (FL),ACC,121,1609,656,4002,0.238,1499,188,308,1641,2307,168,44,478,22,2080,4,33
2024,Arizona Wildcats,Arizona,Big 12,121,1679,578,4331,0.254,1543,175,292,1849,2285,158,54,426,41,2121,3,33
