year,week,game_play_number,pos_team,def_pos_team,play_type,yards_gained,EPA
2024,1,1,Nebraska,UTEP,Kickoff Return (Offense),19,0.28549072588747004
2024,1,2,Nebraska,UTEP,Rush,6,0.33747064632302837
2024,1,3,Nebraska,UTEP,Pass Reception,2,-0.3803933088716105
2024,1,4,Nebraska,UTEP,Rush,2,0.970435331418305
2024,1,5,Nebraska,UTEP,Rush,5,0.07318081551428968
2024,1,6,Nebraska,UTEP,Pass Reception,10,1.091030520090003
2024,1,7,Nebraska,UTEP,Pass Reception,7,0.43269940092828074
2024,1,8,Nebraska,UTEP,Pass Incompletion,0,-0.9395879394960232
2024,1,9,Nebraska,UTEP,Rush,5,1.2272901165641494
2024,1,10,Nebraska,UTEP,Pass Incompletion,0,-0.6736466277456312
2024,1,10,Nebraska,UTEP,Penalty,-5,-0.3086187481869027
2024,1,10,Nebraska,UTEP,Penalty,-15,-0.858428840310667
2024,1,11,Nebraska,UTEP,Pass Reception,19,1.1349116517183668
2024,1,12,Nebraska,UTEP,Pass Reception,16,2.4168592684365686
2024,1,12,Nebraska,UTEP,Penalty,10,-0.5218179683593416
2024,1,13,Nebraska,UTEP,Rushing Touchdown,5,1.2804141761320462
2024,1,19,Nebraska,UTEP,Rush,12,0.9582132693917884
2024,1,20,Nebraska,UTEP,Rush,4,-0.1448141431014367
2024,1,21,Nebraska,UTEP,Rush,10,1.0593569471233644
2024,1,22,Nebraska,UTEP,Rush,6,0.16980961784885595
2024,1,23,Nebraska,UTEP,Rush,2,-0.3594763880453522
2024,1,24,Nebraska,UTEP,Pass Reception,-3,-2.558017775994519
2024,1,24,Nebraska,UTEP,Timeout,0,0.0025784555381289653
2024,1,25,Nebraska,UTEP,Pass Reception,0,-2.8258028877965033
2024,1,29,Nebraska,UTEP,Kickoff Return (Offense),35,0.8614242190578345
2024,1,30,Nebraska,UTEP,Pass Incompletion,0,-0.8696549043350852
2024,1,31,Nebraska,UTEP,Rush,5,-0.13981383998525732
2024,1,32,Nebraska,UTEP,Pass Incompletion,0,-1.787614227161485
2024,1,33,Nebraska,UTEP,Punt,0,0.3105910277598109
2024,1,37,Nebraska,UTEP,Rush,3,-0.32029278494060565
2024,1,38,Nebraska,UTEP,Rush,3,-0.4190221473467375
2024,1,39,Nebraska,UTEP,Rush,2,-1.4596653121452396
2024,1,39,Nebraska,UTEP,Penalty,5,2.9111587290995646
2024,1,40,Nebraska,UTEP,Rush,5,-0.035318981495054746
2024,1,41,Nebraska,UTEP,Pass Reception,14,0.7947680093337359
2024,1,42,Nebraska,UTEP,Rush,3,-0.31209003511526934
2024,1,43,Nebraska,UTEP,Fumble Recovery (Opponent),12,-3.8236073225998255
2024,1,46,Nebraska,UTEP,Kickoff Return (Offense),21,1.1848277506699816
2024,1,47,Nebraska,UTEP,Pass Incompletion,0,-0.7499106952743808
2024,1,48,Nebraska,UTEP,Passing Touchdown,59,5.233681317873077
2024,1,54,Nebraska,UTEP,Pass Incompletion,0,-0.7131687736704246
2024,1,55,Nebraska,UTEP,Rush,7,0.2900958364374926
2024,1,56,Nebraska,UTEP,Rush,4,1.0037798425741982
2024,1,57,Nebraska,UTEP,Rush,0,-0.707696238429496
2024,1,58,Nebraska,UTEP,Pass Reception,5,-0.219244455528961
2024,1,59,Nebraska,UTEP,Rush,42,3.5367201891389035
2024,1,59,Nebraska,UTEP,Timeout,0,-0.012898394453122464
2024,1,60,Nebraska,UTEP,Pass Reception,2,-0.1315696442255465
2024,1,61,Nebraska,UTEP,Rushing Touchdown,3,1.4792131810535292
2024,1,70,Nebraska,UTEP,Sack,-6,-0.6369188465918036
2024,1,71,Nebraska,UTEP,Rush,4,-0.21453110394660613
2024,1,71,Nebraska,UTEP,Timeout,0,-0.023161505649005765
2024,1,72,Nebraska,UTEP,Pass Reception,15,1.0670363720272
2024,1,73,Nebraska,UTEP,Pass Incompletion,0,-0.36230012468517137
2024,1,74,Nebraska,UTEP,Pass Reception,8,0.19971950863152887
2024,1,75,Nebraska,UTEP,Rush,3,0.3937343804416473
2024,1,76,Nebraska,UTEP,Pass Reception,14,0.49321132654946087
2024,1,77,Nebraska,UTEP,Pass Incompletion,0,-0.36507047309719987
2024,1,78,Nebraska,UTEP,Passing Touchdown,21,4.734410580606731
2024,1,79,Nebraska,UTEP,End of Half,0,NA
2024,1,90,Nebraska,UTEP,Pass Incompletion,0,-0.828028427733992
2024,1,91,Nebraska,UTEP,Rush,6,0.15651275087510452
2024,1,92,Nebraska,UTEP,Pass Reception,14,2.0098838663941536
2024,1,93,Nebraska,UTEP,Rush,13,0.6088630726505291
2024,1,94,Nebraska,UTEP,Pass Reception,13,0.42728673493267255
2024,1,95,Nebraska,UTEP,Pass Reception,14,0.3111374303255543
2024,1,96,Nebraska,UTEP,Rush,4,-0.21230578625749175
2024,1,97,Nebraska,UTEP,Rush,2,-0.5862085781040038
2024,1,98,Nebraska,UTEP,Pass Reception,5,2.0980704438791564
2024,1,99,Nebraska,UTEP,Rush,0,-0.5072854843362364
2024,1,99,Nebraska,UTEP,Penalty,1,0.5131142259953405
2024,1,100,Nebraska,UTEP,Rushing Touchdown,1,0.2565423255661594
2024,1,110,Nebraska,UTEP,Pass Reception,5,0.0967755219376012
2024,1,111,Nebraska,UTEP,Pass Reception,2,-0.4041929587556805
2024,1,112,Nebraska,UTEP,Rush,3,1.122821550432006
2024,1,113,Nebraska,UTEP,Rush,2,-0.472678616575553
2024,1,114,Nebraska,UTEP,Pass Reception,12,1.410320959033725
2024,1,115,Nebraska,UTEP,Rush,5,0.028415639400337422
2024,1,115,Nebraska,UTEP,End Period,0,NA
2024,1,116,Nebraska,UTEP,Rush,11,0.7638195723418479
2024,1,117,Nebraska,UTEP,Pass Reception,4,-0.13401328814595015
2024,1,118,Nebraska,UTEP,Rush,3,-0.27983730987395816
2024,1,119,Nebraska,UTEP,Rush,5,0.8085928809703047
2024,1,120,Nebraska,UTEP,Pass Reception,12,0.3221635109741472
2024,1,121,Nebraska,UTEP,Rush,8,0.23360095149921278
2024,1,121,Nebraska,UTEP,Penalty,11,-0.6387191547713993
2024,1,121,Nebraska,UTEP,Timeout,0,-6.665286665539227e-4
2024,1,121,Nebraska,UTEP,Penalty,-15,-0.6825887589905575
2024,1,122,Nebraska,UTEP,Rush,5,0.10803474959618509
2024,1,122,Nebraska,UTEP,Penalty,14,0.37700537371437015
2024,1,123,Nebraska,UTEP,Rush,1,-0.14920535162815796
2024,1,124,Nebraska,UTEP,Rush,0,-0.42308679195388166
2024,1,124,Nebraska,UTEP,Timeout,0,-0.00202858822919616
2024,1,125,Nebraska,UTEP,Rush,1,0.7748691596468849
2024,1,126,Nebraska,UTEP,Field Goal Good,20,0.08862010750077776
2024,1,135,Nebraska,UTEP,Pass Reception,11,0.3717788174971659
2024,1,136,Nebraska,UTEP,Rush,0,-0.5068540420830208
