game_id,school,conference,home_away,opponent,opponent_conference,points,total_yards,net_passing_yards,completion_attempts,passing_tds,yards_per_pass,passes_intercepted,interception_yards,interception_tds,rushing_attempts,rushing_yards,rush_tds,yards_per_rush_attempt,first_downs,third_down_eff,fourth_down_eff,punt_returns,punt_return_yards,punt_return_tds,kick_return_yards,kick_return_tds,kick_returns,kicking_points,fumbles_recovered,fumbles_lost,total_fumbles,tackles,tackles_for_loss,sacks,qb_hurries,interceptions,passes_deflected,turnovers,defensive_tds,total_penalties_yards,possession_time,points_allowed,total_yards_allowed,net_passing_yards_allowed,completion_attempts_allowed,passing_tds_allowed,yards_per_pass_allowed,passes_intercepted_allowed,interception_yards_allowed,interception_tds_allowed,rushing_attempts_allowed,rushing_yards_allowed,rush_tds_allowed,yards_per_rush_attempt_allowed,first_downs_allowed,third_down_eff_allowed,fourth_down_eff_allowed,punt_returns_allowed,punt_return_yards_allowed,punt_return_tds_allowed,kick_return_yards_allowed,kick_return_tds_allowed,kick_returns_allowed,kicking_points_allowed,fumbles_recovered_allowed,fumbles_lost_allowed,total_fumbles_allowed,tackles_allowed,tackles_for_loss_allowed,sacks_allowed,qb_hurries_allowed,interceptions_allowed,passes_deflected_allowed,turnovers_allowed,defensive_tds_allowed,total_penalties_yards_allowed,possession_time_allowed,season
401628454,Nebraska,Big Ten,home,UTEP,Conference USA,40,507,284,25-36,2,7.9,2,18,0,47,223,3,4.7,30,11-17,0-2,3,25,0,75,0,3,8,0,1,1,31,9,1,0,0,2,1,0,3-35,38:32,7,205,149,16-26,1,5.7,NA,NA,NA,24,56,0,2.3,12,3-10,0-0,1,29,0,48,0,3,1,1,0,0,52,3,1,2,2,2,2,0,9-76,21:28,2024
401628467,Nebraska,Big Ten,home,Colorado,Big 12,28,334,185,23-30,1,6.2,1,7,1,35,149,2,4.3,22,3-12,0-0,2,16,0,35,0,2,4,1,0,0,37,10,6,10,0,4,0,1,12-105,35:21,10,260,244,23-40,1,6.1,NA,NA,NA,22,16,0,0.7,15,4-14,1-3,3,14,0,99,0,4,4,0,1,2,45,7,0,4,1,2,2,0,9-104,24:39,2024
401628485,Nebraska,Big Ten,home,Illinois,Big Ten,24,347,297,24-35,3,8.5,NA,NA,NA,32,50,0,1.6,20,8-15,0-1,NA,NA,NA,26,0,1,6,2,0,3,38,2,2,2,1,1,1,0,9-89,30:21,31,383,215,21-27,4,8.0,1,0,0,38,168,0,4.4,25,7-13,2-3,3,60,0,59,0,3,7,0,2,2,34,7,5,1,0,4,2,0,3-20,29:39,2024
401628530,Nebraska,Big Ten,away,Ohio State,Big Ten,17,273,152,21-33,0,4.6,1,34,0,33,121,1,3.7,18,5-16,0-1,1,3,0,0,0,1,9,0,0,2,27,7,2,0,1,1,1,0,7-62,35:07,21,285,221,13-16,3,13.8,1,0,0,31,64,0,2.1,11,1-10,1-2,1,8,0,33,0,2,3,0,0,1,39,13,3,0,1,1,1,0,3-36,24:53,2024
401628482,Nebraska,Big Ten,home,Northern Iowa,MVFC,34,423,281,20-26,2,10.8,1,15,0,22,142,2,6.5,22,4-7,0-1,1,2,0,NA,NA,NA,10,0,0,NA,24,3,1,6,1,5,1,0,4-44,21:53,3,307,162,16-32,0,5.1,1,0,0,37,145,0,3.9,18,6-16,2-4,NA,NA,NA,36,0,3,3,0,0,1,29,2,0,1,1,2,1,0,9-95,38:07,2024
401628560,Nebraska,Big Ten,home,Wisconsin,Big Ten,44,478,293,28-38,1,7.7,1,7,0,34,185,4,5.4,29,4-9,0-1,1,9,0,45,0,1,14,1,1,1,21,3,0,3,0,3,1,0,4-48,33:07,25,409,292,20-30,3,9.7,NA,NA,NA,24,117,0,4.9,15,3-10,1-2,1,9,0,129,0,5,5,1,1,1,42,0,0,1,1,2,2,0,7-56,26:53,2024
401628519,Nebraska,Big Ten,away,Indiana,Big Ten,7,304,234,28-46,0,5.1,1,26,0,29,70,1,2.4,20,7-16,0-5,1,5,0,92,0,7,1,0,2,3,36,4,1,0,3,3,5,0,6-47,32:08,56,495,280,24-30,3,9.3,3,84,0,33,215,5,6.5,24,5-9,1-2,2,20,0,NA,NA,NA,8,2,0,0,45,7,2,2,1,2,1,0,4-46,27:52,2024
401628499,Nebraska,Big Ten,away,Purdue,Big Ten,28,405,244,16-26,1,9.4,1,29,1,32,161,2,5.0,25,1-8,1-1,3,9,0,8,0,1,4,0,0,NA,36,9,5,0,0,3,0,1,11-94,30:18,10,226,174,18-25,1,7.0,NA,NA,NA,30,52,0,1.7,12,7-15,0-0,NA,NA,NA,27,0,1,4,0,0,NA,33,2,1,3,1,3,1,0,13-165,29:42,2024
401628549,Nebraska,Big Ten,away,USC,Big Ten,20,310,191,27-38,1,5.0,1,45,1,25,119,0,4.8,19,5-13,1-1,2,4,0,23,0,1,8,1,0,0,41,5,1,3,2,2,2,1,5-40,28:10,28,444,259,25-35,3,7.4,2,0,0,31,185,1,6.0,22,6-13,1-1,1,9,0,32,0,1,4,0,1,1,44,5,2,1,1,4,2,0,5-70,31:50,2024
401628537,Nebraska,Big Ten,home,UCLA,Big Ten,20,322,209,16-34,1,6.1,NA,NA,NA,38,113,2,3.0,21,9-17,1-3,NA,NA,NA,18,0,1,2,0,0,NA,32,4,2,2,2,2,2,0,2-15,30:46,27,360,219,17-25,2,8.8,2,38,1,29,141,0,4.9,17,6-13,0-0,1,16,0,17,0,1,9,0,0,NA,34,7,4,7,0,7,0,1,9-62,29:14,2024
