team,conference,x03_05_2024_result,net,prev_net,avg_opp_net_rank,avg_opp_net,overall_wins,wl,conference_wins,conf_record,non_conference_wins,non_conference_record,road_wins,road_wl,net_sos,net_non_conf_sos,quad_1_wins,quadrant_1,quad_2_wins,quadrant_2,quad_3_wins,quadrant_3,quad_4_wins,quadrant_4
Queens (NC),ASUN,L,267,263,211,202,12,12-19,8,8-10,4,4-9,2,2-16,203,67,0,0-3,0,0-3,3,3-5,9,9-8
Lindenwood,OVC,,355,355,341,251,6,6-22,3,3-15,3,3-7,3,3-12,315,178,0,0-2,0,0-1,0,0-3,6,6-16
Indiana St.,MVC,,30,29,137,171,25,25-5,17,17-3,8,8-2,9,9-4,139,183,1,1-3,4,4-1,9,9-0,11,11-1
Indiana,Big Ten,,101,101,14,97,16,16-13,8,8-10,8,8-3,3,3-6,17,121,3,3-8,4,4-4,3,3-1,6,6-0
Purdue Fort Wayne,Horizon,W,152,156,320,241,19,19-11,12,12-9,7,7-2,8,8-6,330,299,0,0-2,0,0-1,5,5-4,14,14-4
Iona,MAAC,,190,190,228,206,14,14-15,9,9-9,5,5-6,5,5-7,295,214,0,0-1,0,0-2,4,4-7,10,10-5
Iowa St.,Big 12,,8,8,79,125,23,23-6,12,12-4,11,11-2,5,5-4,34,329,6,6-4,5,5-2,3,3-0,9,9-0
Iowa,Big Ten,,57,56,36,106,18,18-12,10,10-9,8,8-3,4,4-8,16,97,3,3-8,5,5-3,4,4-1,6,6-0
Jackson St.,SWAC,,286,286,327,243,13,13-16,9,9-7,4,4-9,7,7-13,213,42,0,0-4,0,0-0,2,2-4,11,11-8
Jacksonville St.,CUSA,,198,199,237,209,11,11-16,6,6-9,5,5-7,5,5-9,275,303,0,0-1,2,2-1,2,2-5,7,7-9
Jacksonville,ASUN,W,273,279,299,232,13,13-16,7,7-11,6,6-5,4,4-13,241,86,0,0-4,0,0-0,1,1-3,12,12-9
James Madison,Sun Belt,,53,52,304,233,27,27-3,15,15-3,12,12-0,12,12-2,311,332,1,1-1,0,0-1,6,6-1,20,20-0
Kansas St.,Big 12,L,78,73,27,102,17,17-13,7,7-10,10,10-3,2,2-8,20,219,4,4-7,3,3-6,5,5-0,5,5-0
Kansas,Big 12,W,16,18,8,88,21,21-8,10,10-7,11,11-1,3,3-6,4,34,7,7-6,5,5-1,5,5-1,4,4-0
Kent St.,MAC,L,175,167,211,202,13,13-15,8,8-9,5,5-6,4,4-8,249,124,0,0-2,0,0-2,3,3-7,10,10-4
Kentucky,SEC,,20,20,56,113,21,21-8,11,11-5,10,10-3,6,6-3,58,157,5,5-6,2,2-1,9,9-1,5,5-0
La Salle,Atlantic 10,,195,196,132,170,14,14-15,6,6-11,8,8-4,3,3-9,140,301,0,0-3,1,1-5,5,5-5,8,8-2
Lafayette,Patriot,,311,311,310,235,10,10-20,10,10-8,0,0-12,6,6-9,333,211,0,0-1,1,1-2,0,0-7,9,9-10
Lamar University,Southland,,212,214,346,254,15,15-13,11,11-6,4,4-7,5,5-10,324,290,0,0-2,0,0-2,0,0-3,15,15-6
Lehigh,Patriot,,274,273,332,247,10,10-17,9,9-9,1,1-8,6,6-10,271,47,0,0-2,0,0-3,1,1-3,9,9-9
Liberty,CUSA,L,135,127,165,187,14,14-13,6,6-9,8,8-4,2,2-8,177,111,0,0-2,1,1-2,6,6-4,7,7-5
LIU,NEC,,348,348,341,251,7,7-21,6,6-10,1,1-11,1,1-16,343,237,0,0-0,0,0-3,1,1-6,6,6-12
Longwood,Big South,,177,177,304,233,15,15-13,6,6-10,9,9-3,5,5-10,307,320,0,0-2,0,0-1,3,3-4,12,12-6
