rank,name,g,td,fg,x1xp,x2xp,safety,points,points_g
1,North Texas,14,85,12,77,4,0,631,45.1
2,Notre Dame,12,70,5,63,2,1,504,42
3,Indiana,16,87,19,87,0,0,666,41.6
4,Utah,13,72,11,68,1,1,537,41.3
5,USF,13,67,18,62,2,2,526,40.5
6,Tennessee,13,68,14,67,0,0,517,39.8
7,Texas Tech,14,67,28,58,4,0,552,39.4
8,Vanderbilt,13,66,13,63,1,0,500,38.5
9,James Madison,14,68,14,65,2,0,519,37.1
10,Oregon,15,71,19,67,1,1,554,36.9
10,Ole Miss,15,65,31,59,4,2,554,36.9
12,Texas State,13,59,21,53,1,1,474,36.5
13,USC,13,57,21,50,5,0,465,35.8
14,UTSA,13,58,17,57,2,1,462,35.5
15,Connecticut,13,56,23,52,1,0,459,35.3
16,Duke,14,63,14,56,4,0,484,34.6
17,UNLV,14,62,15,58,1,0,477,34.1
17,Washington,13,59,10,59,0,0,443,34.1
19,Texas A&M,13,56,16,55,0,0,439,33.8
20,Pittsburgh,13,54,21,49,1,0,438,33.7
21,Ohio State,14,60,16,60,0,0,468,33.4
22,Florida State,12,51,12,48,3,0,396,33
23,Arkansas,12,50,14,47,3,0,395,32.9
24,East Carolina,13,54,16,51,1,0,425,32.7
25,Memphis,13,54,15,49,2,0,422,32.5
26,SMU,13,54,15,50,0,0,419,32.2
26,Georgia Tech,13,49,25,45,2,0,418,32.2
28,Georgia,14,57,17,54,1,0,449,32.1
29,Old Dominion,13,53,15,51,0,1,416,32
30,Arizona,13,51,19,47,0,0,410,31.5
30,Navy,13,54,10,53,1,0,409,31.5
32,BYU,14,53,23,49,1,1,440,31.4
33,Baylor,12,45,18,37,6,0,373,31.1
34,Penn State,13,50,18,45,1,1,403,31
35,Miami (FL),16,63,18,61,1,0,495,30.9
35,Utah State,13,52,13,45,3,0,402,30.9
37,Virginia,14,51,24,49,1,1,431,30.8
37,Toledo,13,52,10,49,3,2,401,30.8
37,Marshall,12,44,21,38,2,0,369,30.8
40,TCU,13,52,12,51,0,0,399,30.7
41,Texas,13,48,20,48,0,0,396,30.5
42,Mississippi State,13,49,17,46,2,0,395,30.4
43,Cincinnati,13,51,13,49,0,0,394,30.3
44,NC State,13,54,6,51,0,0,393,30.2
44,Missouri,13,50,15,42,2,1,393,30.2
46,Boise State,14,55,12,50,1,0,418,29.9
46,Louisville,13,46,23,40,2,0,389,29.9
48,Air Force,12,47,10,40,2,1,358,29.8
49,Alabama,15,56,16,55,1,1,443,29.5
49,Western Kentucky,13,47,18,46,1,0,384,29.5
49,Florida Atlantic,12,44,16,36,3,0,354,29.5
52,Illinois,13,46,20,44,1,0,382,29.4
52,Kansas State,12,45,13,42,1,0,353,29.4
54,Iowa,13,45,22,41,0,2,381,29.3
55,Houston,13,45,21,43,1,0,378,29.1
56,Delaware,13,47,18,39,1,0,377,29
56,Hawaii,13,42,27,40,1,1,377,29
58,Southern Miss,13,47,14,46,1,1,374,28.8
59,Nebraska,13,46,16,45,1,1,373,28.7
59,Rutgers,12,44,13,39,1,0,344,28.7
61,FIU,13,47,16,39,1,0,371,28.5
62,Jacksonville State,14,47,21,41,4,0,394,28.1
62,Wake Forest,13,44,18,35,5,1,365,28.1
62,Kansas,12,42,14,41,1,0,337,28.1
65,Georgia Southern,13,45,17,42,0,0,363,27.9
66,Ohio,13,49,7,42,2,0,361,27.8
66,Temple,12,43,11,41,1,0,334,27.8
68,Tulane,14,45,25,41,1,0,388,27.7
69,Michigan,13,44,17,43,0,0,358,27.5
70,Iowa State,12,40,16,31,5,0,329,27.4
71,Louisiana Tech,13,46,12,39,2,0,355,27.3
72,Clemson,13,43,17,41,2,0,354,27.2
73,New Mexico,13,42,18,36,4,1,352,27.1
74,Auburn,12,37,20,35,2,0,321,26.8
75,Kennesaw State,14,48,13,43,0,2,374,26.7
76,South Alabama,12,43,7,33,3,0,318,26.5
77,San Diego State,13,41,19,36,2,0,343,26.4
77,UAB,12,41,10,29,6,0,317,26.4
79,Oklahoma,13,38,24,35,1,2,341,26.2
80,Louisiana,13,40,20,38,0,0,338,26
81,Fresno State,13,39,21,34,2,0,335,25.8
81,Arizona State,13,38,22,33,4,0,335,25.8
83,Missouri State,13,42,14,37,1,0,333,25.6
83,Liberty,12,37,16,35,1,0,307,25.6
85,Boston College,12,37,16,35,0,0,305,25.4
86,California,13,41,14,39,1,0,329,25.3
87,Arkansas State,13,38,21,36,0,0,327,25.2
88,Western Michigan,14,44,14,40,1,0,348,24.9
89,Michigan State,12,37,12,33,1,1,295,24.6
90,UCF,12,35,15,33,1,1,292,24.3
91,Appalachian State,13,36,21,33,1,0,314,24.2
92,Eastern Michigan,12,34,17,28,3,0,289,24.1
93,Buffalo,12,35,14,30,2,1,288,24
94,Army,13,38,15,35,1,0,310,23.8
95,Troy,14,42,12,39,1,0,329,23.5
95,Miami (OH),14,38,20,35,1,2,329,23.5
95,Maryland,12,31,21,31,0,1,282,23.5
98,Northwestern,13,34,22,26,4,0,304,23.4
99,UTEP,12,36,9,27,5,0,280,23.3
100,Tulsa,12,33,17,27,1,0,278,23.2
101,Minnesota,13,37,14,35,0,0,299,23
101,Kentucky,12,34,13,33,0,0,276,23
103,LSU,13,32,24,29,1,1,297,22.8
104,South Carolina,12,34,12,32,0,0,272,22.7
105,Central Michigan,13,36,14,35,0,0,293,22.5
105,Washington State,13,35,16,33,0,1,293,22.5
107,Middle Tennessee State,12,34,11,28,2,0,269,22.4
108,Akron,12,31,16,27,3,0,267,22.3
109,Coastal Carolina,13,34,17,33,0,0,288,22.2
110,West Virginia,12,33,10,31,0,1,261,21.8
111,New Mexico State,12,29,19,26,1,0,259,21.6
