Institution,Conference,G,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,pickoffs
A&M-Corpus Christi,Southland,30,,,259.2,1,283,205,178,136,231,,"1,225","1,029",46,4,2,38,35,40,1,,,5,15,378,241,269,,,7,74,2
Abilene Christian,WAC,26,,,223,,217,139,125,112,250,2,"1,013",866,38,3,6,25,26,20,1,,,5,9,,192,208,,,4,82,2
Air Force,Mountain West,25,,,209,,247,172,150,113,165,1,"1,011",843,64,6,1,24,27,39,,,,9,7,,244,182,,,4,41,5
Akron,MAC,24,,,200,,255,195,167,114,150,,989,818,42,9,2,29,17,36,,,,9,12,"1,066",183,231,,,,48,6
Alabama,SEC,26,,,222,,207,128,112,87,235,4,983,852,40,2,1,36,13,32,3,,,4,8,,181,222,,,8,65,2
Alabama A&M,SWAC,24,,,182.1,,274,259,204,138,116,,"1,002",796,43,13,5,41,49,48,2,,,10,10,"1,170",174,223,,,1,38,2
Alabama St.,SWAC,22,,,188.1,1,184,149,123,106,180,1,882,719,43,3,7,19,23,28,6,,,18,11,,165,199,,,3,63,1
Alcorn,SWAC,16,,,125.2,,174,189,155,125,96,,698,523,34,10,1,16,28,33,2,,,7,10,,123,134,,,,28,1
App State,Sun Belt,23,,,201.2,,199,166,151,124,187,,942,767,41,7,1,37,19,30,1,,,5,15,,167,223,,,3,63,1
Arizona,Pac-12,24,,,208.1,,229,125,105,67,221,,935,829,55,5,2,17,15,20,,,,12,6,,179,198,,,3,62,2
Arizona St.,Pac-12,26,,,228,,245,190,167,136,268,1,"1,077",894,48,6,4,41,19,27,3,,,9,11,349,177,209,,,4,84,2
Ark.-Pine Bluff,SWAC,26,,,212,,226,199,156,128,192,1,"1,050",843,46,8,6,14,33,57,2,,,8,14,,153,246,,,1,68,1
Arkansas,SEC,24,,,210.1,,142,65,60,71,315,5,855,744,20,1,2,14,11,25,1,,,10,4,,158,133,,,13,94,5
Arkansas St.,Sun Belt,27,,,240,,247,181,147,128,190,2,"1,114",928,54,6,4,29,28,32,3,,,10,16,,252,242,,,8,44,2
Army West Point,Patriot,24,,,192,1,206,141,119,105,158,,903,757,36,3,,26,28,28,2,,,6,7,,202,184,,,1,33,3
Auburn,SEC,25,,,212.2,,219,134,117,95,227,,980,835,39,5,1,25,23,35,,,,7,8,,184,202,,,4,61,
Austin Peay,ASUN,25,,,210,2,207,188,171,158,237,1,"1,027",806,35,2,5,34,36,41,2,,,10,12,,181,192,,,6,58,1
Ball St.,MAC,27,,,231.2,1,261,186,162,147,263,,"1,120",931,41,9,4,39,36,21,5,,,11,10,,210,197,,,9,94,2
Baylor,Big 12,25,,,218.1,,239,165,144,116,222,,"1,022",867,46,4,,32,16,27,3,,,6,6,,179,223,,,1,61,3
Bellarmine,ASUN,25,,,194,,299,281,246,166,143,,"1,084",845,76,6,3,30,49,44,2,,,10,19,537,183,225,,,,44,2
Belmont,MVC,26,,,227,,227,166,150,134,196,,"1,062",873,42,8,1,32,23,30,1,,,11,14,163,220,232,,,6,57,2
Bethune-Cookman,SWAC,24,,,217,1,213,133,114,97,168,1,992,846,44,6,1,17,15,35,3,,,7,7,,213,246,,,5,48,2
Binghamton,America East,22,,,186,1,194,136,119,91,183,,851,721,35,6,4,27,19,17,,,,9,12,386,180,170,,,4,41,2
Boston College,ACC,24,,,208.2,,243,173,167,115,205,1,989,824,50,9,5,25,22,30,2,,,6,14,,175,212,,,4,50,2
Bowling Green,MAC,20,,,169.1,,220,171,146,100,160,,852,697,42,1,2,28,19,30,1,,,7,18,,133,194,,,1,57,
Bradley,MVC,22,,,174,1,205,160,131,83,138,1,838,692,38,11,1,17,17,41,2,,,10,12,410,180,173,,,1,49,2
Brown,Ivy League,18,,,145.1,,182,138,119,97,138,,733,600,49,7,2,17,24,23,,,,9,4,,153,127,,,2,38,1
