matchday,rk,squad
22,1,Liverpool
22,2,Man City
22,3,Arsenal
22,4,Tottenham
22,5,Aston Villa
22,6,West Ham
22,7,Man Utd
22,8,Newcastle
22,9,Brighton
22,10,Chelsea
22,11,Wolves
22,12,Bournemouth
22,13,Fulham
22,14,Crystal Palace
22,15,Everton
22,16,Brentford
22,17,Luton
22,18,Nottm Forest
22,19,Burnley
22,20,Sheff Utd
23,1,Man City
23,2,Liverpool
23,3,Arsenal
23,4,Aston Villa
23,5,Tottenham
23,6,Man Utd
23,7,West Ham
23,8,Brighton
23,9,Newcastle
23,10,Wolves
23,11,Chelsea
23,12,Bournemouth
23,13,Fulham
23,14,Crystal Palace
23,15,Everton
23,16,Brentford
23,17,Luton
23,18,Nottm Forest
23,19,Burnley
23,20,Sheff Utd
24,1,Man City
24,2,Liverpool
24,3,Arsenal
24,4,Tottenham
24,5,Aston Villa
24,6,Man Utd
24,7,Newcastle
24,8,West Ham
24,9,Brighton
24,10,Chelsea
24,11,Wolves
24,12,Bournemouth
24,13,Fulham
24,14,Brentford
24,15,Crystal Palace
24,16,Everton
24,17,Luton
24,18,Nottm Forest
24,19,Burnley
24,20,Sheff Utd
25,1,Liverpool
25,2,Man City
25,3,Arsenal
25,4,Aston Villa
25,5,Tottenham
25,6,Man Utd
25,7,Brighton
25,8,Newcastle
25,9,West Ham
25,10,Chelsea
25,11,Wolves
25,12,Bournemouth
25,13,Fulham
25,14,Brentford
25,15,Crystal Palace
25,16,Everton
25,17,Nottm Forest
25,18,Luton
25,19,Burnley
25,20,Sheff Utd
26,1,Liverpool
26,2,Man City
26,3,Arsenal
26,4,Aston Villa
26,5,Tottenham
26,6,Man Utd
26,7,Brighton
26,8,West Ham
26,9,Wolves
26,10,Newcastle
26,11,Chelsea
26,12,Fulham
26,13,Bournemouth
26,14,Crystal Palace
26,15,Everton
26,16,Brentford
26,17,Nottm Forest
26,18,Luton
26,19,Burnley
26,20,Sheff Utd
27,1,Liverpool
27,2,Man City
27,3,Arsenal
27,4,Aston Villa
27,5,Tottenham
27,6,Man Utd
27,7,West Ham
27,8,Newcastle
27,9,Brighton
27,10,Wolves
27,11,Chelsea
27,12,Fulham
27,13,Bournemouth
27,14,Crystal Palace
27,15,Brentford
27,16,Everton
27,17,Nottm Forest
27,18,Luton
27,19,Burnley
27,20,Sheff Utd
28,1,Arsenal
28,2,Liverpool
28,3,Man City
28,4,Aston Villa
28,5,Tottenham
28,6,Man Utd
28,7,West Ham
28,8,Brighton
28,9,Wolves
28,10,Newcastle
28,11,Chelsea
28,12,Fulham
28,13,Bournemouth
28,14,Crystal Palace
28,15,Brentford
28,16,Everton
28,17,Luton
28,18,Nottm Forest
28,19,Burnley
28,20,Sheff Utd
