team,conference,athlete_id,player,category,passing_completions,passing_att,passing_pct,passing_yds,passing_td,passing_int,passing_ypa
Toledo,Mid-American,4429801,Tucker Gleason,passing,207,335,0.618,2457,22,7,7.3
Northern Illinois,Mid-American,4618083,Ethan Hampton,passing,143,245,0.584,1608,12,6,6.6
Texas,SEC,4870906,Arch Manning,passing,61,90,0.678,938,9,2,10.4
South Carolina,SEC,4875127,Lanorris Sellers,passing,173,266,0.65,2267,17,7,8.5
UCLA,Big Ten,4429068,Ethan Garbers,passing,235,363,0.647,2727,16,11,7.5
USC,Big Ten,4431580,Miller Moss,passing,233,362,0.644,2555,18,9,7.1
Stanford,ACC,4838679,Ashton Daniels,passing,170,271,0.627,1700,10,12,6.3
Buffalo,Mid-American,4877296,CJ Ogbonna,passing,181,317,0.571,2244,19,5,7.1
Bowling Green,Mid-American,4426444,Connor Bazelak,passing,237,353,0.671,2654,15,5,7.5
Utah State,Mountain West,4360480,Spencer Petras,passing,214,327,0.654,2315,17,11,7.1
Washington,Big Ten,102597,Will Rogers,passing,220,311,0.707,2458,14,7,7.9
Clemson,ACC,4685413,Cade Klubnik,passing,282,443,0.637,3303,33,5,7.5
New Mexico State,Conference USA,5220783,Parker Awad,passing,74,159,0.465,1079,7,4,6.8
New Mexico State,Conference USA,4570743,Santino Marucci,passing,49,112,0.438,519,3,5,4.6
Florida Atlantic,American Athletic,5082005,Tyriq Starks,passing,39,63,0.619,550,6,2,8.7
Duke,ACC,4685497,Maalik Murphy,passing,254,421,0.603,2932,26,12,7
Boston College,ACC,4567707,Grayson James,passing,80,125,0.64,901,6,2,7.2
UNLV,Mountain West,4571364,Hajj-Malik Williams,passing,145,234,0.62,1845,17,5,7.9
Tulsa,American Athletic,4430033,Cooper Legas,passing,87,162,0.537,1144,12,6,7.1
Southern Miss,Sun Belt,4920193,Ethan Crawford,passing,50,120,0.417,849,0,7,7.1
Western Kentucky,Conference USA,4431948,TJ Finley,passing,48,75,0.64,490,1,2,6.5
Middle Tennessee,Conference USA,4682518,Nick Vattiato,passing,269,418,0.644,3092,16,10,7.4
San José State,Mountain West,5085112,Emmett Brown,passing,125,217,0.576,1621,16,5,7.5
Washington State,Pac-12,4915980,John Mateer,passing,224,347,0.646,3139,29,7,9
West Virginia,Big 12,4429847,Garrett Greene,passing,160,276,0.58,1972,13,11,7.1
Michigan State,Big Ten,5075805,Aidan Chiles,passing,192,324,0.593,2415,13,12,7.5
Washington,Big Ten,5079653,Demond Williams Jr.,passing,56,73,0.767,570,4,0,7.8
Louisiana Tech,Conference USA,5092781,Jack Turner,passing,40,76,0.526,471,2,2,6.2
Boise State,Mountain West,4870513,Maddux Madsen,passing,224,361,0.62,2714,22,3,7.5
Cincinnati,Big 12,4899046,Brendan Sorsby,passing,249,389,0.64,2813,18,7,7.2
Florida State,ACC,5079542,Luke Kromenhoek,passing,44,84,0.524,502,3,2,6
Liberty,Conference USA,4432803,Kaidon Salter,passing,147,261,0.563,1886,15,6,7.2
Florida,SEC,5079555,D.J. Lagway,passing,93,157,0.592,1610,11,7,10.3
Mississippi State,SEC,4565315,Blake Shapen,passing,74,108,0.685,974,8,1,9
Oregon State,Pac-12,4431114,Ben Gulbranson,passing,78,128,0.609,943,4,4,7.4
Fresno State,Mountain West,4597499,Mikey Keene,passing,276,392,0.704,2887,18,11,7.4
