Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
1,Abilene Christian,29,13,16,0.448,-2.22,1.34,5,11,9,5,4,8,2187,2064,1170,785,1733,0.453,209,593,0.352,408,564,0.723,295,934,455,258,71,367,592,2022-2023
2,Air Force,31,14,17,0.452,2.86,2.73,5,13,10,9,4,8,2072,2068,1250,734,1579,0.465,253,710,0.356,351,491,0.715,203,908,477,182,125,374,524,2022-2023
3,Akron,31,21,10,0.677,4.37,-1.26,13,5,15,1,5,6,2289,2053,1250,783,1782,0.439,280,798,0.351,443,606,0.731,320,1103,415,191,79,340,483,2022-2023
4,Alabama,31,26,5,0.839,23.32,10.03,16,2,15,0,9,3,2568,2156,1270,862,1925,0.448,309,912,0.339,535,735,0.728,390,1372,462,190,155,443,586,2022-2023
5,Alabama A&M,31,14,17,0.452,-10.32,-7,10,8,9,8,5,8,2159,2203,1256,783,1769,0.443,213,568,0.375,380,584,0.651,304,1000,397,247,125,463,583,2022-2023
6,Alabama State,31,8,23,0.258,-15.77,-5.73,6,12,5,5,2,18,1963,2252,1245,683,1821,0.375,185,605,0.306,412,584,0.705,387,1117,309,182,110,414,557,2022-2023
7,Albany (NY),31,8,23,0.258,-14.19,-4.36,3,13,5,6,2,16,2086,2332,1245,726,1755,0.414,237,725,0.327,397,550,0.722,317,1033,363,178,51,414,576,2022-2023
8,Alcorn State,30,18,12,0.6,-8.06,-5.59,15,3,7,2,10,9,2050,2124,1221,724,1760,0.411,156,527,0.296,446,618,0.722,362,1022,300,238,72,378,571,2022-2023
9,American,32,17,15,0.531,-8.03,-7.5,7,11,8,6,9,9,2093,2110,1300,785,1630,0.482,204,589,0.346,319,455,0.701,259,970,436,238,126,448,482,2022-2023
10,Appalachian State,32,16,16,0.5,-1.09,-0.57,9,9,10,7,6,7,2248,2067,1290,819,1854,0.442,243,726,0.335,367,543,0.676,288,1142,417,204,146,352,442,2022-2023
11,Arizona,31,25,6,0.806,19.75,8.52,14,6,15,2,6,4,2577,2229,1240,912,1850,0.493,267,707,0.378,486,678,0.717,326,1231,599,192,103,417,530,2022-2023
12,Arizona State,31,20,11,0.645,11.36,8.23,11,9,10,5,7,6,2192,2095,1255,783,1874,0.418,230,734,0.313,396,570,0.695,347,1155,439,224,149,370,577,2022-2023
13,Arkansas,31,19,12,0.613,17.03,9.45,8,10,14,3,2,8,2319,2084,1245,843,1775,0.475,160,499,0.321,473,686,0.69,310,1099,417,260,160,395,592,2022-2023
14,Arkansas State,33,13,20,0.394,-7.56,-2.8,4,14,10,8,2,11,2169,2232,1325,777,1799,0.432,209,593,0.352,406,600,0.677,325,1108,433,220,108,385,553,2022-2023
15,Arkansas-Pine Bluff,31,10,21,0.323,-12.39,-4.76,6,12,8,5,2,16,2074,2162,1250,701,1791,0.391,245,776,0.316,427,587,0.727,314,1071,396,250,86,473,611,2022-2023
16,Army,33,17,16,0.515,-7.01,-7.46,10,8,10,5,7,8,2412,2322,1330,885,1853,0.478,252,718,0.351,390,570,0.684,280,1132,432,168,70,427,532,2022-2023
17,Auburn,31,20,11,0.645,15.1,9.17,10,8,14,2,4,8,2254,2070,1245,801,1824,0.439,203,647,0.314,449,638,0.704,369,1140,441,244,162,389,597,2022-2023
18,Austin Peay,31,9,22,0.29,-12.29,-2.57,3,15,7,8,1,13,2067,2241,1245,743,1790,0.415,222,690,0.322,359,495,0.725,312,972,387,220,94,364,525,2022-2023
19,Ball State,31,20,11,0.645,-0.01,-3.08,11,7,12,2,6,7,2375,2202,1245,816,1723,0.474,234,629,0.372,509,742,0.686,329,1117,412,175,121,378,510,2022-2023
