Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
1,Abilene Christian,27,12,15,0.444,-4.43,-0.85,7,5,3,9,1969,2011,1095,682,1601,0.426,141,423,0.333,464,636,0.73,267,903,338,213,53,339,547,2023-2024
2,Air Force,26,9,17,0.346,-3.8,0.16,4,10,5,6,1751,1854,1050,620,1360,0.456,232,632,0.367,279,413,0.676,201,752,387,178,108,315,450,2023-2024
3,Akron,27,20,7,0.741,5.09,-1.63,12,0,7,4,2024,1755,1085,712,1556,0.458,227,673,0.337,373,512,0.729,288,998,361,162,73,302,436,2023-2024
4,Alabama,27,19,8,0.704,23.39,11.17,13,1,4,4,2460,2130,1085,834,1727,0.483,310,817,0.379,482,610,0.79,344,1068,434,203,116,331,517,2023-2024
5,Alabama A&M,27,8,19,0.296,-15.44,-6.73,5,4,3,13,1872,2107,1085,623,1494,0.417,115,396,0.29,511,715,0.715,307,961,282,205,103,442,580,2023-2024
6,Alabama State,27,12,15,0.444,-10.81,-5.85,6,4,3,11,1864,1868,1088,663,1762,0.376,178,646,0.276,360,505,0.713,379,1074,283,238,100,309,523,2023-2024
7,Albany (NY),28,12,16,0.429,-7.35,-5.24,7,4,5,11,2204,2222,1120,799,1796,0.445,217,657,0.33,389,541,0.719,319,1008,364,235,84,380,544,2023-2024
8,Alcorn State,27,10,17,0.37,-11.15,-3.46,5,3,5,14,1904,2096,1085,682,1564,0.436,136,403,0.337,404,577,0.7,302,912,304,197,49,309,471,2023-2024
9,American,29,15,14,0.517,-8.07,-8.14,8,5,7,9,2005,1974,1171,714,1587,0.45,257,722,0.356,318,445,0.715,260,951,406,171,49,318,479,2023-2024
10,Appalachian State,29,24,5,0.828,6.17,-2.27,13,0,8,4,2270,1928,1185,847,1796,0.472,196,591,0.332,380,573,0.663,327,1216,430,190,201,314,378,2023-2024
11,Arizona,27,21,6,0.778,26.83,9.9,14,1,5,3,2432,1975,1105,874,1786,0.489,209,567,0.369,475,653,0.727,369,1173,511,233,98,318,443,2023-2024
12,Arizona State,28,14,14,0.5,6.32,9.46,10,4,3,6,1965,2053,1125,706,1675,0.421,196,633,0.31,357,543,0.657,231,942,344,231,102,295,463,2023-2024
13,Arkansas,27,14,13,0.519,6.3,8.26,11,5,2,5,2044,2097,1090,685,1542,0.444,161,504,0.319,513,704,0.729,240,944,309,157,168,315,535,2023-2024
14,Arkansas State,29,15,14,0.517,0.65,-1.31,10,3,4,10,2322,2265,1165,801,1792,0.447,288,803,0.359,432,612,0.706,367,1096,434,158,134,341,533,2023-2024
15,Arkansas-Pine Bluff,27,12,15,0.444,-15.08,-6.25,7,5,5,10,2156,2197,1080,706,1583,0.446,282,767,0.368,462,608,0.76,229,947,401,163,61,369,508,2023-2024
