Rank,Player,Cl,Ht,Pos,Games Plyd.,Goals,Assists,Points,Avg.
1,"Kirsten Simms, Wisconsin (WCHA)",So.,5-5,F,39,33,42,75,1.92
2,"Casey O'Brien, Wisconsin (WCHA)",Sr.,5-4,F,41,23,50,73,1.78
3,"Izzy Daniel, Cornell (ECAC Hockey)",Sr.,5-5,F,34,21,38,59,1.74
4,"Abbey Murphy, Minnesota (WCHA)",Jr.,5-5,F,39,33,29,62,1.59
5,"Kristýna Kaltounková , Colgate (ECAC Hockey)",Sr.,5-8,F,36,27,30,57,1.58
6,"Danielle Serdachny, Colgate (ECAC Hockey)",Sr.,5-9,F,40,22,39,61,1.53
7,"Britta Curl, Wisconsin (WCHA)",Sr.,5-8,F,41,22,40,62,1.51
8,"Sarah Fillier, Princeton (ECAC Hockey)",Sr.,5-5,F,29,30,13,43,1.48
9,"Morgan Neitzke, Lindenwood (CHA)",Jr.,5-7,F,32,24,22,46,1.44
10,"Abby Hustler, St. Lawrence (ECAC Hockey)",Jr.,5-9,F,39,24,31,55,1.41
11,"Tessa Janecke, Penn St. (CHA)",So.,5-8,F,38,17,36,53,1.39
12,"Julia Gosling, St. Lawrence (ECAC Hockey)",Sr.,5-11,F,37,22,29,51,1.38
13,"Lacey Eden, Wisconsin (WCHA)",Sr.,5-8,F,41,27,29,56,1.37
13,"Laila Edwards, Wisconsin (WCHA)",So.,6-0,F,41,21,35,56,1.37
15,"Josefin Bouveng, Minnesota (WCHA)",So.,5-9,F,39,19,31,50,1.28
16,"Elyssa Biederman, Colgate (ECAC Hockey)",So.,5-1,F,40,17,33,50,1.25
16,"Elle Hartje, Yale (ECAC Hockey)",Sr.,5-5,F,32,12,28,40,1.25
18,"Hannah Bilka, Ohio St. (WCHA)",Sr.,5-5,F,39,22,26,48,1.23
19,"Jennifer Gardiner, Ohio St. (WCHA)",Sr.,5-6,F,39,18,27,45,1.15
20,"Sydney Morrow, Colgate (ECAC Hockey)",So.,5-7,D,34,13,26,39,1.15
21,"Natalie Tulchinsky, St. Anselm (NEWHA)",Sr.,5-4,F,37,20,22,42,1.14
22,"Ida Kuoppala, Maine (Hockey East)",Sr.,5-6,F,35,21,18,39,1.11
23,"Caroline Harvey, Wisconsin (WCHA)",So.,5-8,D,32,5,30,35,1.09
23,"Issy Wunder, Princeton (ECAC Hockey)",So.,5-11,F,32,8,27,35,1.09
25,"Jenna Buglioni, Ohio St. (WCHA)",Sr.,5-3,F,35,15,23,38,1.09
26,"Joy Dunne, Ohio St. (WCHA)",Fr.,5-11,F,39,24,18,42,1.08
26,"Ella Huber, Minnesota (WCHA)",Jr.,5-6,F,39,18,24,42,1.08
28,"Kate Reilly, Quinnipiac (ECAC Hockey)",Sr.,5-7,D,37,10,29,39,1.05
29,"Sara Boucher, Mercyhurst (CHA)",Sr.,5-7,F,38,18,22,40,1.05
30,"Kiara Zanon, Ohio St. (WCHA)",Sr.,5-5,F,39,14,27,41,1.05
31,"Dara Greig, Colgate (ECAC Hockey)",Sr.,5-7,F,40,17,25,42,1.05
32,"Haley Winn, Clarkson (ECAC Hockey)",Jr.,5-5,D,38,10,29,39,1.03
33,"Neena Brick, Colgate (ECAC Hockey)",Jr.,5-8,F,40,18,22,40,1.00
33,"Lily Delianedis, Cornell (ECAC Hockey)",Jr.,5-4,F,34,16,18,34,1.00
33,"Emerson O'Leary, Princeton (ECAC Hockey)",So.,5-7,F,32,7,25,32,1.00
33,"Anna Segedi, St. Lawrence (ECAC Hockey)",Sr.,5-5,F,39,18,21,39,1.00
37,"Nicole Gosling, Clarkson (ECAC Hockey)",Sr.,5-7,D,40,14,25,39,0.98
38,"Vanessa Upson, Mercyhurst (CHA)",Jr.,5-5,F,38,17,20,37,0.97
39,"Sarah Davies, Lindenwood (CHA)",So.,5-4,D,32,13,18,31,0.97
40,"Mae Batherson, St. Lawrence (ECAC Hockey)",Sr.,5-8,D,39,8,29,37,0.95
41,"Sofia Nuutinen, Mercyhurst (CHA)",Fr.,5-7,F,36,11,23,34,0.94
42,"Natalie Mlynkova, Vermont (Hockey East)",Sr.,5-3,F,35,17,16,33,0.94
43,"Cayla Barnes, Ohio St. (WCHA)",Jr.,5-1,D,39,11,25,36,0.92
44,"Kahlen Lamarche, Quinnipiac (ECAC Hockey)",Fr.,5-6,F,37,11,23,34,0.92
44,"Jeannie Wallner, LIU (NEWHA)",Jr.,5-10,F,37,20,14,34,0.92
46,"Sammy Taber, Boston College (Hockey East)",Fr.,5-5,F,35,13,19,32,0.91
47,"Skylar Irving, Northeastern (Hockey East)",Jr.,5-8,F,39,13,22,35,0.90
47,"Alexis Petford, Stonehill (NEWHA)",So.,5-5,F,39,20,15,35,0.90
49,"Kendall Cooper, Quinnipiac (ECAC Hockey)",Sr.,5-8,D,37,11,22,33,0.89
50,"Alaina Giampietro, Robert Morris (CHA)",Fr.,5-7,F,35,19,12,31,0.89
