x,name,g,attempts,conversions,conversion_percent,Season
1,Marshall,13,187,44,23.53,2022
2,Georgia,15,199,53,26.63,2022
3,Oklahoma State,13,199,54,27.14,2022
4,James Madison,11,155,43,27.74,2022
5,Air Force,13,140,39,27.86,2022
6,Minnesota,13,165,46,27.88,2022
7,Iowa State,12,157,46,29.3,2022
8,Ohio State,13,187,56,29.95,2022
9,Illinois,13,183,55,30.05,2022
10,Alabama,13,198,60,30.3,2022
11,Iowa,13,209,64,30.62,2022
12,Massachusetts,12,139,43,30.94,2022
13,Western Michigan,12,158,49,31.01,2022
14,Boise State,14,200,63,31.5,2022
15,Utah,14,165,52,31.52,2022
16,South Alabama,13,177,56,31.64,2022
17,Pittsburgh,13,180,58,32.22,2022
17,Wisconsin,13,180,58,32.22,2022
19,Central Michigan,12,181,59,32.6,2022
20,North Carolina State,13,192,63,32.81,2022
21,Kentucky,13,171,57,33.33,2022
21,Louisville,13,171,57,33.33,2022
21,Penn State,13,201,67,33.33,2022
24,Mississippi State,13,182,61,33.52,2022
25,Virginia Tech,11,164,55,33.54,2022
26,Toledo,14,220,74,33.64,2022
27,Michigan,14,198,67,33.84,2022
28,Kansas State,14,194,66,34.02,2022
29,Rutgers,12,170,58,34.12,2022
30,New Mexico,12,167,57,34.13,2022
31,Liberty,13,192,66,34.38,2022
32,Tennessee,13,189,65,34.39,2022
33,Missouri,13,186,64,34.41,2022
34,UTEP,12,141,49,34.75,2022
35,Stanford,12,155,54,34.84,2022
36,San Diego State,13,183,64,34.97,2022
37,Florida State,13,180,63,35,2022
38,Florida Atlantic,12,157,55,35.03,2022
39,Purdue,14,188,66,35.11,2022
40,Clemson,14,196,69,35.2,2022
41,Buffalo,13,173,61,35.26,2022
42,Akron,12,161,57,35.4,2022
43,Texas State,12,175,62,35.43,2022
44,Texas A&M,12,174,62,35.63,2022
45,Navy,12,154,55,35.71,2022
45,Western Kentucky,14,210,75,35.71,2022
47,Fresno State,14,202,73,36.14,2022
48,Southern Mississippi,13,196,71,36.22,2022
49,Notre Dame,13,168,61,36.31,2022
50,Arkansas State,12,173,63,36.42,2022
51,TCU,15,219,80,36.53,2022
52,Virginia,10,153,56,36.6,2022
53,Temple,12,172,63,36.63,2022
54,Tulsa,12,180,66,36.67,2022
55,Boston College,12,163,60,36.81,2022
56,New Mexico State,13,178,66,37.08,2022
57,UNLV,12,161,60,37.27,2022
58,UTSA,14,209,78,37.32,2022
59,Tulane,14,222,83,37.39,2022
60,SMU,13,189,71,37.57,2022
61,Colorado State,12,164,62,37.8,2022
62,Washington State,13,179,68,37.99,2022
63,Georgia Tech,12,171,65,38.01,2022
64,UCF,14,194,74,38.14,2022
65,Wyoming,13,191,73,38.22,2022
66,Middle Tennessee,13,196,75,38.27,2022
67,Cincinnati,13,205,79,38.54,2022
68,Mississippi,13,197,76,38.58,2022
69,Texas Tech,13,202,78,38.61,2022
70,Army,12,142,55,38.73,2022
71,Oregon State,13,178,69,38.76,2022
72,Hawai'i,13,157,61,38.85,2022
73,Maryland,13,198,77,38.89,2022
74,LSU,14,200,78,39,2022
75,California,12,169,66,39.05,2022
76,Ohio,14,181,71,39.23,2022
77,San Jose State,12,170,67,39.41,2022
78,UCLA,13,180,71,39.44,2022
78,Kent State,12,180,71,39.44,2022
80,Louisiana-Lafayette,13,190,75,39.47,2022
81,Ball State,12,200,79,39.5,2022
82,Troy,14,205,81,39.51,2022
83,Vanderbilt,12,151,60,39.74,2022
84,Miami (Ohio),13,187,75,40.11,2022
85,Syracuse,13,174,70,40.23,2022
86,West Virginia,12,162,66,40.74,2022
86,UAB,13,189,77,40.74,2022
88,Oklahoma,13,208,85,40.87,2022
89,Memphis,13,192,79,41.15,2022
90,Old Dominion,12,187,77,41.18,2022
90,Utah State,13,187,77,41.18,2022
92,Rice,13,160,66,41.25,2022
93,Wake Forest,13,201,83,41.29,2022
94,Texas,13,213,88,41.31,2022
95,Appalachian State,12,168,70,41.67,2022
96,Georgia State,12,163,68,41.72,2022
97,North Carolina,14,189,79,41.8,2022
98,Miami (Florida),12,162,68,41.98,2022
99,Eastern Michigan,13,176,74,42.05,2022
100,Coastal Carolina,13,164,69,42.07,2022
100,Northwestern,12,164,69,42.07,2022
102,East Carolina,13,175,74,42.29,2022
102,Nevada,12,175,74,42.29,2022
104,Nebraska,12,177,75,42.37,2022
