name,g,rush_yards,pass_yards,plays,total_yards,yards_play,yards_g
Florida State,3,1089,797,212,1886,8.9,628.7
Indiana,4,1235,1119,295,2354,7.98,588.5
USC,4,1009,1326,254,2335,9.19,583.8
Texas Tech,4,818,1474,294,2292,7.8,573
Virginia,4,1006,1252,315,2258,7.17,564.5
Missouri,4,1192,1025,316,2217,7.02,554.3
Tennessee,4,865,1351,311,2216,7.13,554
Arkansas,4,911,1297,272,2208,8.12,552
Ole Miss,4,874,1299,292,2173,7.44,543.3
Washington,3,780,828,203,1608,7.92,536
Boise State,3,732,875,212,1607,7.58,535.7
Oregon,4,1021,1074,259,2095,8.09,523.8
Appalachian State,3,486,1073,245,1559,6.36,519.7
TCU,3,524,1024,209,1548,7.41,516
Nebraska,4,579,1407,290,1986,6.85,496.5
Connecticut,4,786,1189,287,1975,6.88,493.8
Navy,3,1126,354,202,1480,7.33,493.3
Georgia Tech,4,997,972,243,1969,8.1,492.3
Vanderbilt,4,895,1034,250,1929,7.72,482.3
Texas A&M,3,471,970,207,1441,6.96,480.3
Baylor,4,555,1354,315,1909,6.06,477.3
Ohio State,3,576,850,183,1426,7.79,475.3
Syracuse,4,475,1416,315,1891,6,472.8
Georgia,3,627,784,239,1411,5.9,470.3
Boston College,3,220,1181,215,1401,6.52,467
Duke,4,529,1327,260,1856,7.14,464
Air Force,3,801,584,219,1385,6.32,461.7
Florida Atlantic,3,405,980,255,1385,5.43,461.7
Old Dominion,3,735,649,170,1384,8.14,461.3
Alabama,3,371,1007,193,1378,7.14,459.3
East Carolina,5,705,1575,390,2280,5.85,456
Utah,4,971,843,308,1814,5.89,453.5
BYU,3,797,559,194,1356,6.99,452
UNLV,4,825,977,263,1802,6.85,450.5
Miami (FL),4,722,1080,278,1802,6.48,450.5
UCF,3,607,741,192,1348,7.02,449.3
Rutgers,4,564,1219,288,1783,6.19,445.8
NC State,4,697,1083,278,1780,6.4,445
Mississippi State,4,826,950,263,1776,6.75,444
Texas State,4,886,878,279,1764,6.32,441
Western Kentucky,4,473,1290,291,1763,6.06,440.8
North Texas,4,707,1049,279,1756,6.29,439
Texas,4,811,944,282,1755,6.22,438.8
Cincinnati,3,551,764,157,1315,8.38,438.3
Memphis,4,945,807,265,1752,6.61,438
Arizona,3,567,745,202,1312,6.5,437.3
Penn State,3,581,731,204,1312,6.43,437.3
UAB,4,468,1280,265,1748,6.6,437
Michigan,4,1014,733,255,1747,6.85,436.8
Oklahoma,4,501,1220,284,1721,6.06,430.3
Utah State,4,725,985,258,1710,6.63,427.5
Notre Dame,3,483,795,192,1278,6.66,426
Pittsburgh,3,328,945,195,1273,6.53,424.3
SMU,4,564,1126,264,1690,6.4,422.5
Delaware,4,608,1079,281,1687,6,421.8
Minnesota,3,541,721,211,1262,5.98,420.7
Toledo,4,817,857,288,1674,5.81,418.5
Louisville,3,468,777,182,1245,6.84,415
Ohio,4,769,889,271,1658,6.12,414.5
Kansas,4,765,891,252,1656,6.57,414
Jacksonville State,4,1045,594,277,1639,5.92,409.8
West Virginia,4,820,812,294,1632,5.55,408
Tulsa,4,749,878,306,1627,5.32,406.8
UTSA,4,819,805,274,1624,5.93,406
Arizona State,4,876,748,282,1624,5.76,406
Wake Forest,3,462,739,189,1201,6.35,400.3
USF,4,537,1062,240,1599,6.66,399.8
Eastern Michigan,4,579,993,261,1572,6.02,393
LSU,4,467,1100,275,1567,5.7,391.8
Southern Miss,4,473,1094,280,1567,5.6,391.8
Houston,3,604,562,210,1166,5.55,388.7
James Madison,3,666,495,216,1161,5.38,387
Georgia Southern,4,651,894,270,1545,5.72,386.3
Purdue,4,425,1118,270,1543,5.71,385.8
Kentucky,3,644,512,203,1156,5.69,385.3
Tulane,4,844,691,277,1535,5.54,383.8
Auburn,4,793,741,267,1534,5.75,383.5
Iowa State,4,644,888,257,1532,5.96,383
Army,4,1145,376,311,1521,4.89,380.3
South Alabama,4,746,772,269,1518,5.64,379.5
FIU,4,748,769,278,1517,5.46,379.3
Liberty,4,703,801,266,1504,5.65,376
Colorado,4,565,935,247,1500,6.07,375
Michigan State,4,616,881,249,1497,6.01,374.3
Fresno State,5,881,988,308,1869,6.07,373.8
Virginia Tech,4,550,928,276,1478,5.36,369.5
Arkansas State,4,552,925,288,1477,5.13,369.3
Maryland,4,411,1063,269,1474,5.48,368.5
Clemson,4,465,996,257,1461,5.68,365.3
Temple,4,730,729,267,1459,5.46,364.8
UTEP,4,380,1077,263,1457,5.54,364.3
California,4,421,1031,270,1452,5.38,363
New Mexico,3,564,524,200,1088,5.44,362.7
Kennesaw State,4,609,835,275,1444,5.25,361
Missouri State,4,334,1109,253,1443,5.7,360.8
Northwestern,3,535,541,192,1076,5.6,358.7
San Jose State,3,358,714,188,1072,5.7,357.3
Georgia State,4,438,955,258,1393,5.4,348.3
Colorado State,3,468,575,207,1043,5.04,347.7
Charlotte,4,353,1033,273,1386,5.08,346.5
Buffalo,4,672,711,260,1383,5.32,345.8
Wyoming,4,641,740,262,1381,5.27,345.3
Illinois,4,496,882,240,1378,5.74,344.5
Akron,4,626,732,270,1358,5.03,339.5
Nevada,4,757,600,253,1357,5.36,339.3
Iowa,4,802,551,259,1353,5.22,338.3
Hawaii,5,482,1196,365,1678,4.6,335.6
San Diego State,3,445,555,196,1000,5.1,333.3
Louisiana Tech,4,648,681,250,1329,5.32,332.3
Florida,4,492,821,266,1313,4.94,328.3
Louisiana-Monroe,3,654,327,176,981,5.57,327
Marshall,4,719,587,251,1306,5.2,326.5
UCLA,3,366,608,178,974,5.47,324.7
Oklahoma State,3,456,517,208,973,4.68,324.3
Wisconsin,4,471,823,261,1294,4.96,323.5
Rice,4,985,308,267,1293,4.84,323.3
Kansas State,4,432,851,225,1283,5.7,320.8
Oregon State,4,280,997,260,1277,4.91,319.3
Bowling Green,4,603,660,250,1263,5.05,315.8
Louisiana,4,797,415,229,1212,5.29,303
New Mexico State,3,143,762,184,905,4.92,301.7
Central Michigan,4,580,625,251,1205,4.8,301.3
South Carolina,4,321,881,225,1202,5.34,300.5
Troy,4,553,641,269,1194,4.44,298.5
Washington State,4,231,955,260,1186,4.56,296.5
Miami (OH),3,282,599,138,881,6.38,293.7
Coastal Carolina,4,585,586,266,1171,4.4,292.8
Stanford,4,444,723,248,1167,4.71,291.8
Kent State,4,346,816,247,1162,4.7,290.5
Middle Tennessee State,4,256,863,242,1119,4.62,279.8
Northern Illinois,3,483,342,194,825,4.25,275
Ball State,4,597,491,214,1088,5.08,272
Sam Houston State,4,424,641,242,1065,4.4,266.3
North Carolina,4,454,600,215,1054,4.9,263.5
Massachusetts,3,230,549,178,779,4.38,259.7
Western Michigan,4,448,567,256,1015,3.96,253.8
