Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G,TD,FG,1XP,2XP,Safety,Points,Points/G
USC,3,720,1092,188,1812,9.64,604,21,6,21,0,0,165,55
Texas Tech,3,645,1163,222,1808,8.14,602.7,23,5,21,0,0,174,58
Indiana,3,923,852,223,1775,7.96,591.7,21,3,21,0,0,156,52
Missouri,3,907,854,241,1761,7.31,587,20,5,18,0,1,155,51.7
Arkansas,3,736,972,206,1708,8.29,569.3,20,1,20,0,0,143,47.7
Tennessee,3,630,1076,238,1706,7.17,568.7,20,6,20,0,0,158,52.7
Washington,2,607,530,151,1137,7.53,568.5,15,1,15,0,0,108,54
Virginia,3,800,868,241,1668,6.92,556,17,5,17,0,0,134,44.7
Florida State,2,591,520,134,1111,8.29,555.5,15,1,15,0,0,108,54
Nebraska,3,536,1099,218,1635,7.5,545,19,4,19,0,1,147,49
Ole Miss,3,633,992,223,1625,7.29,541.7,16,7,15,1,0,134,44.7
Connecticut,3,567,1008,220,1575,7.16,525,15,5,15,0,0,120,40
Appalachian State,3,486,1073,245,1559,6.36,519.7,9,4,8,1,0,76,25.3
Baylor,3,448,1104,253,1552,6.13,517.3,15,3,15,0,0,114,38
Utah,3,870,681,239,1551,6.49,517,19,2,17,0,0,137,45.7
TCU,2,386,645,132,1031,7.81,515.5,12,2,12,0,0,90,45
Boise State,2,450,565,154,1015,6.59,507.5,8,1,7,0,0,58,29
Oregon,3,741,769,182,1510,8.3,503.3,22,3,21,0,0,162,54
Georgia Tech,3,690,811,195,1501,7.7,500.3,13,6,12,1,0,110,36.7
Navy,3,1126,354,202,1480,7.33,493.3,18,2,18,0,0,132,44
UCF,2,464,518,126,982,7.79,491,11,3,10,0,0,85,42.5
Miami (FL),3,538,920,202,1458,7.22,486,16,3,16,0,0,121,40.3
Syracuse,3,321,1137,238,1458,6.13,486,16,3,12,1,0,119,39.7
East Carolina,3,406,1039,241,1445,6,481.7,15,2,15,0,0,111,37
Texas A&M,3,471,970,207,1441,6.96,480.3,17,3,16,0,0,127,42.3
Duke,3,380,1058,197,1438,7.3,479.3,11,5,8,1,0,91,30.3
Ohio State,3,576,850,183,1426,7.79,475.3,16,3,16,0,0,121,40.3
Oklahoma,3,469,949,222,1418,6.39,472.7,13,3,12,1,0,101,33.7
Georgia,3,627,784,239,1411,5.9,470.3,15,4,13,1,0,117,39
BYU,2,625,313,134,938,7,469,10,6,10,0,1,90,45
Western Kentucky,3,328,1074,225,1402,6.23,467.3,15,4,15,0,0,117,39
Boston College,3,220,1181,215,1401,6.52,467,16,5,15,0,0,126,42
Toledo,3,626,768,216,1394,6.45,464.7,16,2,15,1,1,121,40.3
Florida Atlantic,3,405,980,255,1385,5.43,461.7,12,2,11,1,0,91,30.3
Old Dominion,3,735,649,170,1384,8.14,461.3,15,2,15,0,1,113,37.7
Rutgers,3,494,889,218,1383,6.34,461,18,5,16,0,0,139,46.3
Alabama,3,371,1007,193,1378,7.14,459.3,17,3,17,0,0,128,42.7
Texas State,3,679,684,210,1363,6.49,454.3,14,4,12,0,1,110,36.7
Michigan,3,728,628,199,1356,6.81,452,14,4,14,0,0,110,36.7
UAB,3,445,909,194,1354,6.98,451.3,14,3,12,1,0,107,35.7
Delaware,3,468,868,215,1336,6.21,445.3,12,1,11,0,0,86,28.7
Mississippi State,3,534,790,194,1324,6.82,441.3,16,3,16,0,0,121,40.3
Cincinnati,3,551,764,157,1315,8.38,438.3,16,3,16,0,0,121,40.3
Arizona,3,567,745,202,1312,6.5,437.3,13,7,12,0,0,111,37
Penn State,3,581,731,204,1312,6.43,437.3,15,9,13,1,0,132,44
West Virginia,3,639,670,222,1309,5.9,436.3,11,3,11,0,0,86,28.7
Air Force,2,533,338,144,871,6.05,435.5,11,1,8,1,0,79,39.5
SMU,3,470,836,199,1306,6.56,435.3,16,1,16,0,0,115,38.3
Vanderbilt,3,609,685,179,1294,7.23,431.3,16,3,15,0,0,120,40
UNLV,3,603,684,177,1287,7.27,429,14,3,13,0,0,106,35.3
UTSA,3,647,632,214,1279,5.98,426.3,14,3,13,1,0,108,36
North Texas,3,478,800,201,1278,6.36,426,19,4,17,0,0,143,47.7
Pittsburgh,3,328,945,195,1273,6.53,424.3,16,6,14,1,0,130,43.3
Liberty,3,545,726,203,1271,6.26,423.7,9,1,8,0,0,65,21.7
Kansas,3,523,745,185,1268,6.85,422.7,14,3,13,1,0,108,36
Memphis,3,655,608,193,1263,6.54,421,15,2,15,0,0,111,37
Minnesota,3,541,721,211,1262,5.98,420.7,13,4,13,0,0,103,34.3
Tulane,3,666,587,209,1253,6,417.7,10,7,9,0,0,90,30
Auburn,3,726,521,199,1247,6.27,415.7,15,2,15,0,0,111,37
NC State,3,526,719,204,1245,6.1,415,12,3,12,0,0,93,31
Arizona State,3,697,527,202,1224,6.06,408,11,5,11,0,0,92,30.7
Illinois,3,494,723,195,1217,6.24,405.7,18,3,18,0,0,135,45
Louisville,2,342,464,120,806,6.72,403,10,3,6,2,0,79,39.5
Tulsa,3,544,659,227,1203,5.3,401,9,3,7,1,0,72,24
Wake Forest,3,462,739,189,1201,6.35,400.3,10,2,8,0,1,76,25.3
Fresno State,4,810,758,247,1568,6.35,392,18,5,16,1,0,141,35.3
Purdue,3,359,815,202,1174,5.81,391.3,10,4,10,0,0,82,27.3
Florida,3,412,760,214,1172,5.48,390.7,9,6,9,0,0,81,27
Houston,3,604,562,210,1166,5.55,388.7,11,7,11,0,0,98,32.7
Eastern Michigan,3,396,767,194,1163,5.99,387.7,8,6,7,0,0,73,24.3
California,3,356,807,198,1163,5.87,387.7,11,6,10,1,0,96,32
Michigan State,3,504,656,194,1160,5.98,386.7,13,4,12,1,1,106,35.3
Arkansas State,3,460,699,219,1159,5.29,386.3,9,3,9,0,0,72,24
Kentucky,3,644,512,203,1156,5.69,385.3,11,6,11,0,0,95,31.7
FIU,3,588,566,209,1154,5.52,384.7,11,1,11,0,0,80,26.7
Iowa State,4,644,888,257,1532,5.96,383,14,7,12,1,0,119,29.8
Maryland,3,350,798,212,1148,5.42,382.7,11,8,11,0,1,103,34.3
Texas,3,547,601,213,1148,5.39,382.7,9,3,9,0,0,72,24
Temple,3,546,585,186,1131,6.08,377,13,3,13,0,0,100,33.3
Oregon State,3,213,917,212,1130,5.33,376.7,8,2,2,0,0,56,18.7
Notre Dame,2,229,514,129,743,5.76,371.5,8,3,7,0,0,64,32
Army,2,517,226,164,743,4.53,371.5,6,3,6,0,0,51,25.5
Jacksonville State,3,716,392,198,1108,5.6,369.3,9,5,9,0,0,78,26
Buffalo,3,547,558,198,1105,5.58,368.3,11,3,11,0,0,86,28.7
Georgia State,3,406,697,190,1103,5.81,367.7,8,0,8,0,2,60,20
South Alabama,3,523,575,189,1098,5.81,366,11,3,7,1,0,84,28
USF,3,285,810,186,1095,5.89,365,6,7,5,0,1,64,21.3
New Mexico,3,564,524,200,1088,5.44,362.7,11,2,10,1,0,84,28
Utah State,3,391,692,183,1083,5.92,361,13,2,9,3,0,99,33
James Madison,2,439,282,149,721,4.84,360.5,8,1,8,0,0,59,29.5
Northwestern,3,535,541,192,1076,5.6,358.7,7,3,6,1,0,59,19.7
Southern Miss,3,351,702,198,1053,5.32,351,12,3,12,0,0,93,31
Charlotte,3,278,774,197,1052,5.34,350.7,7,2,6,1,0,56,18.7
Ohio,3,451,599,196,1050,5.36,350,7,3,6,0,0,57,19
LSU,3,332,705,197,1037,5.26,345.7,6,6,6,0,0,60,20
Wyoming,3,476,558,195,1034,5.3,344.7,6,2,5,0,0,47,15.7
Georgia Southern,3,445,584,193,1029,5.33,343,10,2,9,0,0,75,25
Hawaii,4,393,977,291,1370,4.71,342.5,8,11,8,0,0,89,22.3
Missouri State,3,204,822,192,1026,5.34,342,5,3,5,0,0,44,14.7
San Diego State,2,310,369,143,679,4.75,339.5,7,2,5,1,0,55,27.5
Virginia Tech,3,396,621,205,1017,4.96,339,6,5,4,0,1,57,19
UTEP,3,347,668,185,1015,5.49,338.3,9,2,6,1,0,68,22.7
Iowa,3,642,365,203,1007,4.96,335.7,11,6,10,0,0,94,31.3
Colorado,3,372,631,188,1003,5.34,334.3,9,3,8,0,0,71,23.7
Wisconsin,3,410,588,184,998,5.42,332.7,10,1,10,0,0,73,24.3
Louisiana Tech,3,547,443,191,990,5.18,330,10,3,9,1,0,80,26.7
Nevada,3,550,435,181,985,5.44,328.3,4,5,3,1,0,44,14.7
San Jose State,2,160,492,141,652,4.62,326,3,0,3,0,0,21,10.5
UCLA,3,366,608,178,974,5.47,324.7,4,5,4,0,0,43,14.3
Kansas State,4,432,851,225,1283,5.7,320.8,12,4,11,1,0,97,24.3
Clemson,3,325,633,174,958,5.51,319.3,7,3,7,0,0,58,19.3
Kent State,3,303,653,192,956,4.98,318.7,9,0,9,0,0,63,21
Colorado State,2,315,321,132,636,4.82,318,6,0,6,0,0,42,21
Sam Houston State,3,397,555,191,952,4.98,317.3,8,3,6,1,0,65,21.7
Kennesaw State,3,420,527,192,947,4.93,315.7,4,6,3,0,0,45,15
Bowling Green,3,413,529,200,942,4.71,314,6,9,6,0,0,69,23
Rice,3,730,210,209,940,4.5,313.3,8,2,7,0,0,61,20.3
South Carolina,3,330,579,175,909,5.19,303,9,2,9,0,0,69,23
New Mexico State,3,144,760,184,904,4.91,301.3,6,4,4,1,0,54,18
Washington State,3,206,676,195,882,4.52,294,6,5,6,0,1,59,19.7
Coastal Carolina,3,403,474,210,877,4.18,292.3,2,2,2,0,0,20,6.7
Louisiana-Monroe,2,404,178,119,582,4.89,291,4,1,2,0,0,29,14.5
Marshall,3,532,326,180,858,4.77,286,8,3,8,0,0,65,21.7
Oklahoma State,2,271,299,133,570,4.29,285,3,3,3,0,0,30,15
Stanford,3,409,437,188,846,4.5,282,5,6,5,0,0,53,17.7
Akron,3,361,483,203,844,4.16,281.3,3,2,2,1,0,28,9.3
North Carolina,3,391,446,157,837,5.33,279,9,4,9,0,0,75,25
Northern Illinois,2,358,200,142,558,3.93,279,3,3,1,0,0,28,14
Troy,3,390,439,186,829,4.46,276.3,8,2,7,0,0,61,20.3
