season,athlete_id,name,position,team,conference,usg_overall,usg_pass,usg_rush,usg_1st_down,usg_2nd_down,usg_3rd_down,usg_standard_downs,usg_passing_downs
2013,531864,Colin Reardon,WR,Kent State,Mid-American,0.5071,0.8956,0.199,0.4441,0.53,0.655,0.411,0.652
2013,530877,Byron Marshall,WR,Oregon,Pac-12,0.208,0.0348,0.3592,0.2245,0.186,0.213,0.205,0.186
2013,515746,Kendall Brock,WR,Nevada,Mountain West,0.2033,0.0212,0.3561,0.2486,0.186,0.153,0.25,0.095
2013,531165,James Baker,WR,Idaho,FBS Independents,0.1872,0.0134,0.3494,0.2268,0.172,0.131,0.238,0.12
2013,511476,Brandin Cooks,WR,Oregon State,Pac-12,0.1633,0.1996,0.1007,0.1788,0.17,0.123,0.149,0.149
2013,534754,D.J. Foster,WR,Arizona State,Pac-12,0.1589,0.1399,0.186,0.1742,0.173,0.127,0.162,0.125
2013,500884,Jordan Matthews,WR,Vanderbilt,SEC,0.1525,0.3283,0.0147,0.1692,0.133,0.156,0.085,0.183
2013,503463,Jeremy Johnson,WR,SMU,American Athletic,0.1348,0.2015,0,0.1289,0.146,0.124,0.132,0.143
2013,501428,Albert Wilson,WR,Georgia State,Sun Belt,0.1304,0.1826,0.068,0.1036,0.13,0.194,0.153,0.147
2013,505407,Justin Hardy,WR,East Carolina,Conference USA,0.1289,0.2213,0,0.1313,0.104,0.187,0.123,0.131
2013,512839,Sammy Watkins,WR,Clemson,ACC,0.1273,0.2427,0.016,0.1307,0.143,0.116,0.108,0.139
2013,518274,Tommy Shuler,WR,Marshall,Conference USA,0.126,0.2569,0,0.1159,0.125,0.158,0.123,0.138
2013,517452,Jamison Crowder,WR,Duke,ACC,0.1224,0.2441,0.0151,0.1182,0.146,0.113,0.075,0.176
2013,511422,Willie Snead,WR,Ball State,Mid-American,0.1223,0.223,0,0.1077,0.116,0.186,0.137,0.128
2013,537727,Bubba Poole,WR,Utah,Pac-12,0.1208,0.0395,0.198,0.1407,0.139,0.063,0.158,0.077
2013,514915,Darius Joseph,WR,SMU,American Athletic,0.1207,0.1785,0.0041,0.1289,0.134,0.098,0.159,0.078
2013,546650,Tyler Boyd,WR,Pittsburgh,ACC,0.1193,0.2189,0.0263,0.119,0.122,0.132,0.109,0.127
2013,511603,Tommylee Lewis,WR,Northern Illinois,Mid-American,0.1159,0.2107,0.053900000000000003,0.1321,0.132,0.07,0.096,0.108
2013,520581,Davante Adams,WR,Fresno State,Mountain West,0.1157,0.1731,0,0.1208,0.108,0.123,0.089,0.133
2013,512771,Tevin King,WR,Louisiana Tech,Conference USA,0.1146,0.0213,0.2341,0.1437,0.129,0.051,0.109,0.083
2013,518204,Allen Robinson,WR,Penn State,Big Ten,0.1141,0.2301,0.0147,0.0716,0.157,0.16,0.109,0.181
2013,236726,Brandon Wimberly,WR,Nevada,Mountain West,0.1103,0.2493,0.0021,0.0973,0.119,0.14,0.092,0.139
2013,480899,Jeremy Gallon,WR,Michigan,Big Ten,0.1087,0.2278,0.0074,0.1067,0.102,0.146,0.103,0.112
2013,515882,J.D. McKissic,WR,Arkansas State,Sun Belt,0.1056,0.213,0.0333,0.1048,0.142,0.057,0.076,0.132
2013,547342,Jaleel Awini,WR,Air Force,Mountain West,0.1055,0.2414,0.0695,0.0839,0.122,0.124,0.086,0.163
2013,553230,Dezmon Epps,WR,Idaho,FBS Independents,0.1045,0.204,0.0181,0.0929,0.147,0.088,0.049,0.15
2013,501644,Alex Amidon,WR,Boston College,ACC,0.104,0.2803,0.0173,0.0656,0.124,0.159,0.136,0.128
2013,537063,Tajae Sharpe,WR,UMass,Mid-American,0.1032,0.2337,0,0.0709,0.094,0.161,0.11,0.136
2013,504922,Isaiah Burse,WR,Fresno State,Mountain West,0.1027,0.1413,0.0258,0.108,0.115,0.055,0.076,0.116
2013,514290,Dawan Scott,WR,Miami (OH),Mid-American,0.102,0.1272,0.086,0.1092,0.11,0.068,0.079,0.11
2013,502295,Geremy Davis,WR,Connecticut,American Athletic,0.1001,0.1846,0,0.102,0.078,0.13,0.044,0.136
