Season,Team,Conference,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Digs,Aces,Aces Per Set,Block Solos,Block Assists
2018,A&M-Corpus Christi,Southland,111,1365,616,3968,0.189,1275,1671,131,1.2,19,229
2018,Abilene Christian,Southland,118,1428,622,4293,0.188,1319,1808,130,1.1,30,490
2018,Air Force,Mountain West,128,1627,721,4455,0.203,1547,1895,182,1.4,46,418
2018,Akron,MAC,103,1280,549,3650,0.2,1191,1449,145,1.4,23,266
2018,Alabama,SEC,116,1504,588,4192,0.219,1403,1864,148,1.3,84,365
2018,Alabama A&M,SWAC,129,1521,608,4020,0.227,1415,1777,173,1.3,70,327
2018,Alabama St.,SWAC,142,1619,830,4437,0.178,1488,1791,210,1.5,90,356
2018,Albany (NY),America East,102,1202,529,3566,0.189,1119,1648,123,1.2,51,314
2018,Alcorn,SWAC,110,1119,643,3442,0.138,1028,1332,218,2,41,199
2018,American,Patriot,121,1533,517,4054,0.251,1423,1807,134,1.1,63,498
2018,App State,Sun Belt,112,1547,638,4187,0.217,1440,1743,166,1.5,71,260
2018,Arizona,Pac-12,125,1733,665,4508,0.237,1584,1919,131,1,70,388
2018,Arizona St.,Pac-12,113,1405,627,4048,0.192,1326,1826,130,1.2,94,241
2018,Ark.-Pine Bluff,SWAC,99,992,538,3388,0.134,917,1359,137,1.4,46,250
2018,Arkansas,SEC,103,1344,554,3768,0.21,1269,1497,127,1.2,28,313
2018,Arkansas St.,Sun Belt,126,1625,704,4448,0.207,1533,1814,170,1.3,83,345
2018,Army West Point,Patriot,119,1563,733,4280,0.194,1457,1819,126,1.1,75,370
2018,Auburn,SEC,105,1324,529,3563,0.223,1230,1362,122,1.2,46,328
2018,Austin Peay,OVC,121,1671,613,4486,0.236,1563,2044,154,1.3,96,298
2018,Ball St.,MAC,120,1576,564,4307,0.235,1438,1909,150,1.2,92,429
2018,Baylor,Big 12,118,1642,648,4234,0.235,1551,1828,126,1.1,26,453
2018,Belmont,OVC,103,1130,640,3670,0.134,1035,1410,109,1.1,24,237
2018,Bethune-Cookman,MEAC,119,1324,644,4056,0.168,1244,1903,132,1.1,61,453
2018,Binghamton,America East,92,1028,539,3276,0.149,950,1316,98,1.1,28,239
2018,Boise St.,Mountain West,112,1405,597,3886,0.208,1322,1561,160,1.4,36,540
2018,Boston College,ACC,112,1452,621,3986,0.208,1355,1634,122,1.1,68,333
2018,Bowling Green,MAC,114,1397,586,4586,0.177,1294,2228,157,1.4,59,359
2018,Bradley,MVC,127,1745,680,5220,0.204,1629,2509,172,1.4,37,378
2018,Brown,Ivy League,99,1220,487,3607,0.203,1133,1539,121,1.2,37,317
2018,Bryant,NEC,139,1882,902,5228,0.187,1765,2291,174,1.3,37,353
2018,Bucknell,Patriot,99,1101,511,3383,0.174,1028,1501,118,1.2,40,314
2018,Buffalo,MAC,113,1509,606,3947,0.229,1399,1688,147,1.3,71,330
2018,Butler,Big East,105,1233,571,3672,0.18,1141,1486,119,1.1,40,559
2018,BYU,WCC,107,1521,468,3469,0.304,1436,1406,150,1.4,27,568
2018,Cal Poly,Big West,96,1321,387,3224,0.29,1236,1420,125,1.3,54,362
2018,Cal St. Fullerton,Big West,100,1105,569,3498,0.153,1039,1500,115,1.1,27,272
2018,California,Pac-12,117,1538,576,4150,0.232,1441,1780,145,1.2,62,370
2018,California Baptist,WAC,128,1680,664,4847,0.21,1554,2074,172,1.3,37,427
2018,Campbell,Big South,95,1074,590,3250,0.149,1012,1403,137,1.4,27,270
2018,Canisius,MAAC,104,1410,482,3682,0.252,1281,1691,163,1.6,31,284
2018,Central Ark.,Southland,121,1621,620,4098,0.244,1519,1764,167,1.4,69,338
2018,Central Conn. St.,NEC,95,1132,466,3414,0.195,1067,1434,135,1.4,50,400
2018,Central Mich.,MAC,106,1319,665,3894,0.168,1259,1631,103,1,36,269
2018,Charleston So.,Big South,97,1107,525,3612,0.161,1020,1683,121,1.2,40,294
2018,Charlotte,C-USA,124,1523,535,4392,0.225,1428,1997,131,1.1,90,454
2018,Chattanooga,SoCon,108,1239,567,3726,0.18,1157,1656,163,1.5,41,248
2018,Chicago St.,WAC,120,1467,795,4690,0.143,1390,2024,152,1.3,56,343
2018,Cincinnati,AAC,133,1860,629,4496,0.274,1750,1886,185,1.4,53,418
2018,Clemson,ACC,129,1717,731,4247,0.232,1617,1593,148,1.1,57,404
2018,Cleveland St.,Horizon,114,1415,601,4384,0.186,1339,2133,100,0.9,51,546
2018,Coastal Carolina,Sun Belt,93,1153,499,3340,0.196,1092,1461,104,1.1,86,234
2018,Col. of Charleston,CAA,135,1913,685,4930,0.249,1807,2236,141,1,63,358
2018,Colgate,Patriot,103,1287,519,3667,0.209,1187,1594,129,1.3,57,274
2018,Colorado,Pac-12,125,1666,638,4296,0.239,1563,1788,113,0.9,49,556
2018,Colorado St.,Mountain West,112,1518,575,3597,0.262,1415,1422,182,1.6,56,500
2018,Columbia,Ivy League,87,1083,509,3107,0.185,1012,1288,127,1.5,34,258
2018,Coppin St.,MEAC,117,1267,697,3595,0.159,1149,1401,145,1.2,51,295
2018,Cornell,Ivy League,93,1199,527,3370,0.199,1129,1480,113,1.2,32,342
