rank,team,conference,s,w_l,kills,errors,total_attacks,pct
1,Tennessee,SEC,39,11-1,555,159,1191,0.332
2,Wisconsin,Big Ten,33,9-1,486,137,1058,0.33
3,Indiana,Big Ten,41,11-1,571,162,1273,0.321
4,Nebraska,Big Ten,42,12-0,600,187,1302,0.317
5,Minnesota,Big Ten,43,12-1,597,159,1406,0.312
6,Texas,SEC,35,10-0,509,161,1161,0.3
7,UTEP,CUSA,47,12-2,647,193,1518,0.299
8,Cincinnati,Big 12,45,9-3,603,150,1519,0.298
9,Mississippi St.,SEC,42,11-1,591,184,1366,0.298
10,Stanford,ACC,46,11-2,641,190,1515,0.298
11,West Virginia,Big 12,47,12-1,595,186,1381,0.296
12,Cal Poly,Big West,48,11-3,622,173,1527,0.294
13,Iowa St.,Big 12,47,11-2,683,227,1556,0.293
14,Texas A&M,SEC,43,10-2,622,206,1420,0.293
15,Pittsburgh,ACC,46,10-2,610,187,1451,0.292
16,Villanova,Big East,51,11-2,721,229,1703,0.289
17,Rutgers,Big Ten,48,9-5,633,228,1402,0.289
18,Kentucky,SEC,38,9-2,558,169,1349,0.288
19,Purdue,Big Ten,47,10-2,654,207,1551,0.288
20,Michigan,Big Ten,44,10-3,611,198,1434,0.288
21,BYU,Big 12,48,13-1,685,240,1550,0.287
22,Liberty,CUSA,59,14-1,794,233,1969,0.285
23,UCF,Big 12,45,10-3,628,201,1501,0.284
24,SMU,ACC,48,8-4,651,212,1548,0.284
25,American,Patriot,50,10-4,643,185,1627,0.281
26,Princeton,Ivy League,35,6-3,489,155,1211,0.276
27,Auburn,SEC,43,11-2,563,168,1440,0.274
28,James Madison,Sun Belt,53,8-6,758,257,1846,0.271
29,Oregon,Big Ten,48,9-3,631,226,1494,0.271
30,North Carolina,ACC,43,9-2,586,203,1414,0.271
31,Michigan St.,Big Ten,43,11-1,613,222,1445,0.271
32,Belmont,MVC,49,10-3,623,194,1600,0.268
33,Tulsa,American,51,11-3,711,235,1783,0.267
34,UConn,Big East,52,11-3,667,234,1627,0.266
35,Fairfield,MAAC,49,8-4,648,217,1622,0.266
36,Miami FL,ACC,47,12-1,606,223,1443,0.265
37,Colorado,Big 12,44,11-2,586,205,1440,0.265
38,Northwestern,Big Ten,54,11-3,686,234,1715,0.264
39,Western Ky.,CUSA,47,11-4,646,235,1568,0.262
40,Arizona,Big 12,43,7-5,596,205,1498,0.261
41,Louisiana,Sun Belt,43,9-3,567,195,1434,0.259
42,Jacksonville,ASUN,52,11-3,680,245,1683,0.258
43,Clemson,ACC,54,12-2,738,251,1886,0.258
44,Southern Miss.,Sun Belt,42,10-3,583,186,1539,0.258
45,Illinois,Big Ten,41,7-4,549,184,1419,0.257
46,Denver,Summit League,52,10-3,660,249,1599,0.257
47,Penn St.,Big Ten,47,7-5,641,245,1548,0.256
48,Iowa,Big Ten,51,10-4,669,256,1616,0.256
49,Long Beach St.,Big West,48,9-4,658,246,1615,0.255
50,Eastern Ky.,ASUN,58,9-5,783,273,2001,0.255
51,Ball St.,MAC,58,6-8,778,277,1977,0.253
52,St. Thomas MN,Summit League,47,9-4,671,230,1743,0.253
53,Penn,Ivy League,38,6-5,564,179,1525,0.252
54,UAB,American,53,7-7,626,231,1567,0.252
55,Cornell,Ivy League,42,6-5,541,197,1365,0.252
56,Xavier,Big East,52,12-2,696,240,1810,0.252
57,Marquette,Big East,44,8-4,604,208,1572,0.252
58,Northern Ariz.,Big Sky,51,12-3,678,203,1886,0.252
59,Fla. Atlantic,American,51,10-5,699,252,1776,0.252
60,Oregon St.,WCC,42,8-4,578,217,1435,0.252
61,Houston,Big 12,44,8-5,571,187,1532,0.251
62,Charlotte,American,50,10-4,658,212,1782,0.25
63,Colorado St.,Mountain West,48,7-5,610,231,1517,0.25
64,Arizona St.,Big 12,45,11-2,615,229,1549,0.249
65,George Washington,Atlantic 10,53,9-5,731,281,1806,0.249
66,Southern California,Big Ten,45,10-2,583,207,1510,0.249
67,Sacramento St.,Big Sky,49,8-6,607,216,1575,0.248
68,Oklahoma,SEC,46,9-3,605,250,1432,0.248
69,Louisville,ACC,44,10-2,596,204,1588,0.247
70,Washington St.,WCC,45,8-4,628,242,1565,0.247
71,Baylor,Big 12,44,8-3,579,220,1456,0.247
72,Florida St.,ACC,40,7-4,527,188,1376,0.246
73,Yale,Ivy League,37,5-4,462,159,1230,0.246
74,Arkansas St.,Sun Belt,51,8-5,659,250,1664,0.246
75,Missouri,SEC,48,8-5,646,250,1612,0.246
76,San Diego,WCC,59,9-4,690,252,1788,0.245
77,UC Santa Barbara,Big West,54,10-4,741,290,1842,0.245
78,Georgia,SEC,42,8-4,516,178,1382,0.245
79,Duquesne,Atlantic 10,51,9-4,725,262,1896,0.244
80,South Dakota,Summit League,52,9-5,722,251,1931,0.244
81,Weber St.,Big Sky,49,9-5,607,226,1563,0.244
82,Wichita St.,American,53,10-4,713,260,1862,0.243
83,Montana,Big Sky,46,10-3,635,223,1695,0.243
84,Florida,SEC,43,6-5,580,229,1448,0.242
85,Hofstra,CAA,43,9-2,609,233,1554,0.242
86,Kansas St.,Big 12,35,7-3,455,180,1140,0.241
87,Southeastern La.,Southland,48,10-4,648,238,1702,0.241
88,Boston College,ACC,51,11-3,612,229,1592,0.241
89,Omaha,Summit League,40,3-8,514,187,1360,0.24
90,Syracuse,ACC,44,9-3,577,203,1564,0.239
91,Kennesaw St.,CUSA,42,7-5,552,216,1407,0.239
92,Indiana St.,MVC,52,7-7,720,265,1907,0.239
93,Colgate,Patriot,51,8-5,608,219,1632,0.238
94,Washington,Big Ten,46,5-7,584,231,1486,0.238
95,Towson,CAA,61,13-2,861,315,2300,0.237
96,Ga. Southern,Sun Belt,45,11-2,612,215,1677,0.237
97,Virginia Tech,ACC,44,8-5,545,205,1437,0.237
98,Northeastern,CAA,53,5-8,683,264,1772,0.236
99,FGCU,ASUN,45,6-5,583,220,1543,0.235
100,Toledo,MAC,50,11-3,635,238,1690,0.235
101,Campbell,CAA,46,10-3,603,234,1572,0.235
102,Ole Miss,SEC,51,9-4,646,261,1644,0.234
103,Binghamton,America East,51,5-9,661,246,1777,0.234
104,TCU,Big 12,53,11-3,705,263,1894,0.233
105,Gonzaga,WCC,51,8-5,678,271,1746,0.233
106,Lipscomb,ASUN,40,4-8,519,214,1310,0.233
107,Wake Forest,ACC,49,7-6,652,261,1681,0.233
108,Howard,MEAC,48,7-5,602,245,1537,0.232
109,East Carolina,American,50,8-5,607,228,1632,0.232
110,George Mason,Atlantic 10,53,9-4,642,255,1672,0.231
111,Tulane,American,51,9-4,671,235,1884,0.231
112,Lehigh,Patriot,48,7-6,622,251,1605,0.231
113,Kansas,Big 12,63,10-6,819,316,2178,0.231
114,North Ala.,ASUN,54,8-7,714,266,1944,0.23
