season,team,conference,kills,errors,total_attacks,hit_pct,assists,aces,s_err,digs,ret_att,r_err,block_solos,block_assists,b_err,pts,bhe,trpl_dbl,opponent_kills,opponent_errors,opponent_total_attacks,opponent_hit_pct,opponent_assists,opponent_aces,opponent_s_err,opponent_digs,opponent_ret_att,opponent_r_err,opponent_block_solos,opponent_block_assists,opponent_b_err,opponent_pts,opponent_bhe,opponent_trpl_dbl
2024,Le Moyne,NEC,943,568,2942,0.127,877,183,250,1057,1928,214,43,176,30,1257,8,26,1110,389,2736,0.264,1009,216,244,1228,1584,182,46,332,48,1538,13,26
2024,Utah Valley,WAC,1586,680,4164,0.218,1457,217,272,1635,2437,204,54,563,47,2138.5,2,32,1454,650,4086,0.197,1364,204,213,1633,2438,217,66,418,44,1933,5,32
2024,North Ala.,ASUN,1455,570,4251,0.208,1327,154,244,1842,2255,142,50,334,24,1826,4,30,1489,639,4250,0.2,1393,142,242,1950,2307,154,50,311,28,1836.5,7,30
2024,California Baptist,WAC,1273,546,3785,0.192,1193,187,245,1536,2263,189,48,321,28,1668.5,4,30,1448,515,3773,0.247,1349,189,225,1662,2007,187,41,341,35,1848.5,2,30
2024,Abilene Christian,WAC,1198,629,3567,0.16,1105,140,238,1419,2068,180,36,236,32,1492,9,28,1217,489,3372,0.216,1115,180,222,1442,1859,140,30,414,51,1634,3,28
2024,Akron,MAC,1600,630,4364,0.222,1530,207,224,1786,2422,158,28,403,35,2036.5,9,30,1581,595,4209,0.234,1482,158,221,1773,2430,207,58,387,40,1990.5,8,30
2024,Alabama A&M,SWAC,1028,576,3340,0.135,934,155,191,1291,2062,190,58,207,30,1344.5,5,28,1270,487,3265,0.24,1180,190,219,1474,1796,155,71,276,32,1669,1,28
2024,Alabama St.,SWAC,1230,637,3381,0.175,1119,161,185,1276,2134,214,51,296,55,1590,4,30,1250,511,3283,0.225,1155,214,201,1259,1994,161,63,334,34,1694,8,30
2024,Alabama,SEC,1302,565,3560,0.207,1208,145,254,1359,2059,136,22,326,34,1632,1,27,1354,462,3466,0.257,1265,136,265,1442,1958,145,49,369,41,1723.5,5,27
2024,UAB,The American,1176,510,3295,0.202,1085,165,246,1426,1982,147,54,336,26,1563,9,28,1253,516,3436,0.214,1160,147,203,1411,1860,164,36,337,19,1604.5,12,28
2024,UAlbany,America East,1178,528,3438,0.189,1095,131,188,1471,1924,154,27,279,30,1475.5,12,27,1257,523,3501,0.21,1174,154,247,1422,1955,131,39,362,45,1631,17,27
2024,Alcorn,SWAC,510,427,2242,0.037,453,77,144,826,1731,254,33,118,24,679,11,24,1002,290,2275,0.313,878,253,153,1114,963,77,32,177,23,1375.5,2,25
2024,American,Patriot,1513,589,4082,0.226,1419,191,301,1790,2150,152,51,336,42,1923,4,29,1295,619,3964,0.171,1211,152,246,1650,2285,191,69,380,34,1706,9,29
2024,App State,Sun Belt,1430,563,3832,0.226,1306,162,251,1576,2174,160,46,338,44,1807,4,28,1397,595,3862,0.208,1255,160,233,1547,2224,162,55,430,23,1827,5,28
2024,Arizona St.(),Big 12,1570,487,3987,0.272,1457,186,278,1809,1894,86,59,376,43,2003,1,33,1265,627,3970,0.161,1192,86,291,1658,2386,186,57,300,51,1558,NA,33
2024,Arizona,Big 12,1679,578,4331,0.254,1543,175,292,1849,2285,158,54,426,41,2121,3,33,1477,648,4267,0.194,1378,158,261,1803,2508,175,37,325,24,1834.5,5,33
2024,Arkansas St.,Sun Belt,1768,680,4761,0.229,1637,193,220,2154,2235,178,93,446,74,2277,2,32,1510,764,4784,0.156,1414,178,315,1978,2692,193,72,403,50,1961.5,10,32
2024,Arkansas,SEC,1291,470,3741,0.219,1230,117,227,1687,1949,135,31,348,29,1613,2,28,1346,560,3813,0.206,1270,135,250,1690,2011,117,25,358,47,1685,5,28
2024,Little Rock,OVC,1564,681,4807,0.184,1479,157,187,2281,2469,217,42,441,57,1983.5,5,32,1617,686,4951,0.188,1507,217,264,2255,2539,157,60,428,39,2108,5,32
2024,Auburn,SEC,1289,451,3686,0.227,1209,127,250,1578,1959,123,21,468,34,1671,NA,26,1351,560,3799,0.208,1275,123,246,1704,1994,127,31,325,36,1667.5,3,26
2024,Austin Peay,ASUN,1085,655,3569,0.12,1015,156,142,1504,2148,167,64,297,40,1453.5,1,28,1364,503,3593,0.24,1265,167,210,1619,1872,156,51,325,43,1744.5,2,28
