college_athlete_id,nfl_athlete_id,college_id,college_team,college_conference,nfl_team,year,overall,round,pick,name,position,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,hometown_info_city,hometown_info_state,hometown_info_country,hometown_info_latitude,hometown_info_longitude,hometown_info_county_fips,Rk,Tm,FantPos,Age,G,GS,Cmp,PassingAtt,PassingYds,PassingTD,Int,RushingAtt,RushingYds,Y/A,RushingTD,Tgt,Rec,ReceivingYds,Y/R,ReceivingTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999,team,conference,player,category,receiving_rec,receiving_yds,receiving_td,receiving_ypr,receiving_long,year.y
487982,29974,277,West Virginia,Big 12,Los Angeles,2013,8,1,8,Tavon Austin,Wide Receiver,69,174,12,1,93,Baltimore,MD,USA,39.2908816,-76.610759,24510,141,STL,WR,23,13,3,0,1,0,0,0,9,151,16.78,1,69,40,418,10.45,4,4,1,6,NA,NA,91,130.9,137.9,110.9,NA,51,NA,AustTa00,West Virginia,Big 12,Tavon Austin,receiving,110,1259,12,11.4,75,2012
501689,30261,228,Clemson,ACC,Houston,2013,27,1,27,DeAndre Hopkins,Wide Receiver,73,214,47,6,86,Central,SC,USA,34.7257424,-82.7804999,45077,142,HOU,WR,21,16,16,0,0,0,0,0,0,0,NA,0,91,52,802,15.42,2,1,1,2,NA,NA,90,142.2,146.2,116.2,NA,52,NA,HopkDe00,Clemson,ACC,DeAndre Hopkins,receiving,69,1214,16,17.6,62,2012
532092,30260,2633,Tennessee,SEC,Minnesota,2013,29,1,29,Cordarrelle Patterson,Wide Receiver,74,216,29,3,89,Rock Hill,SC,USA,34.9248667,-81.0250784,45091,105,MIN,WR,22,16,6,0,0,0,0,0,12,158,13.17,3,77,45,469,10.42,4,0,0,9,NA,NA,117,161.7,167.7,139.2,NA,32,NA,PattCo00,Tennessee,SEC,Cordarrelle Patterson,receiving,46,778,5,16.9,58,2012
501520,29238,2633,Tennessee,SEC,Tennessee,2013,34,2,2,Justin Hunter,Wide Receiver,76,196,25,2,90,Virginia Beach,VA,USA,36.8529841,-75.9774183,51810,198,TEN,WR,22,14,0,0,0,0,0,0,0,0,NA,0,42,18,354,19.67,4,0,0,4,NA,NA,59,77.4,80.4,68.4,NA,73,NA,HuntJu00,Tennessee,SEC,Justin Hunter,receiving,73,1083,9,14.8,46,2012
500234,29964,30,USC,Pac-12,Buffalo,2013,41,2,9,Robert Woods,Wide Receiver,72,201,32,4,88,Carson,CA,USA,33.8322043,-118.2517547,06037,161,BUF,WR,21,14,14,0,0,0,0,0,2,16,8,0,85,40,587,14.68,3,0,0,3,1,NA,80,120.3,123.3,100.3,NA,56,NA,WoodRo02,USC,Pac-12,Robert Woods,receiving,73,813,11,11.1,41,2012
483949,29968,276,Marshall,Conference USA,New England,2013,59,2,27,Aaron Dobson,Wide Receiver,75,210,62,9,80,Dunbar,WV,USA,38.3606509,-81.7373485,54039,167,NWE,WR,22,12,9,0,0,0,0,0,0,0,NA,0,72,37,519,14.03,4,1,0,4,NA,NA,76,112.9,115.9,94.4,NA,59,NA,DobsAa00,Marshall,Conference USA,Aaron Dobson,receiving,57,679,3,11.9,40,2012
379892,29277,239,Baylor,Big 12,Dallas,2013,74,3,12,Terrance Williams,Wide Receiver,74,208,60,8,81,Dallas,TX,USA,32.7762719,-96.7968559,48113,125,DAL,WR,24,16,8,0,0,0,0,0,3,4,1.33,0,74,44,736,16.73,5,2,2,5,1,NA,102,146,151,124,NA,40,NA,WillTe01,Baylor,Big 12,Terrance Williams,receiving,95,1764,12,18.6,80,2012
501550,29250,25,California,Pac-12,Los Angeles,2013,76,3,14,Keenan Allen,Wide Receiver,74,206,38,5,88,Greensboro,NC,USA,36.0726355,-79.7919754,37081,46,SDG,WR,21,15,14,0,0,0,0,0,0,0,NA,0,105,71,1046,14.73,8,2,2,8,NA,NA,149,219.6,224.6,184.1,29,17,46,AlleKe00,California,Pac-12,Keenan Allen,receiving,61,737,6,12.1,69,2012
481791,29305,251,Texas,Big 12,Buffalo,2013,78,3,16,Marquise Goodwin,Wide Receiver,69,183,115,12,69,Garland,TX,USA,32.912624,-96.6388833,48113,244,BUF,WR,23,12,1,0,0,0,0,0,3,13,4.33,0,32,17,283,16.65,3,1,1,3,NA,NA,46,62.6,66.6,54.1,NA,99,NA,GoodMa00,Texas,Big 12,Marquise Goodwin,receiving,22,272,2,12.4,55,2012
482558,29269,204,Oregon State,Pac-12,Pittsburgh,2013,79,3,17,Markus Wheaton,Wide Receiver,71,189,88,11,74,Chandler,AZ,USA,33.3062223,-111.8413317,04013,423,PIT,WR,22,12,1,0,0,0,0,0,0,0,NA,0,13,6,64,10.67,0,0,0,0,NA,NA,6,12.4,12.4,9.4,NA,159,NA,WheaMa00,Oregon State,Pac-12,Markus Wheaton,receiving,88,1207,11,13.7,51,2012
487983,30171,277,West Virginia,Big 12,Los Angeles,2013,92,3,30,Stedman Bailey,Wide Receiver,70,193,75,10,77,Miramar,FL,USA,25.97591145,-80.33472128115224,12011,284,STL,WR,23,16,2,0,0,0,0,0,2,33,16.5,1,25,17,226,13.29,0,0,0,1,NA,NA,32,48.9,51.9,40.4,NA,113,NA,BailSt01,West Virginia,Big 12,Stedman Bailey,receiving,106,1501,23,14.2,87,2012
504290,30367,2579,South Carolina,SEC,Jacksonville,2013,101,4,4,Ace Sanders,Wide Receiver,67,173,171,20,56,Bradenton,FL,USA,27.4989278,-82.5748194,12081,196,JAX,WR,22,15,4,1,1,21,1,0,2,4,2,0,87,51,484,9.49,1,0,0,1,NA,NA,60,110.6,113.6,85.1,NA,72,NA,SandAc00,South Carolina,SEC,Ace Sanders,receiving,36,439,7,12.2,36,2012
481315,29977,2628,TCU,Big 12,New England,2013,102,4,5,Josh Boyce,Wide Receiver,71,206,130,15,66,Copperas Cove,TX,USA,31.124062,-97.9030785,48099,353,NWE,WR,22,9,3,0,0,0,0,0,0,0,NA,0,19,9,121,13.44,0,0,0,0,NA,NA,12,21.1,24.1,16.6,NA,137,NA,BoycJo00,TCU,Big 12,Josh Boyce,receiving,61,800,7,13.1,94,2012
487950,30014,2306,Kansas State,Big 12,Seattle,2013,123,4,26,Chris Harper,Wide Receiver,73,229,147,16,61,Wichita,KS,USA,37.6922361,-97.3375448,20173,527,GNB,NA,24,4,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,194,NA,HarpCh00,Kansas State,Big 12,Chris Harper,receiving,50,786,3,15.7,62,2012
512774,30207,2348,Louisiana Tech,Western Athletic,San Francisco,2013,128,4,31,Quinton Patton,Wide Receiver,72,204,58,7,82,La Vergne,TN,USA,36.0156178,-86.5819394,47149,420,SFO,WR,23,6,0,0,0,0,0,0,1,26,26,0,5,3,34,11.33,0,0,0,0,NA,NA,6,9,9,7.5,NA,163,NA,PattQu00,Louisiana Tech,Western Athletic,Quinton Patton,receiving,104,1392,13,13.4,79,2012
480237,29990,130,Michigan,Big Ten,Jacksonville,2013,135,5,2,Denard Robinson,Wide Receiver,71,199,184,22,54,Deerfield Beach,FL,USA,26.318342,-80.0996306,12011,466,JAX,WR,23,16,0,0,1,0,0,0,20,66,3.3,0,1,0,0,NA,0,3,2,0,NA,NA,3,2.6,4.6,2.6,NA,177,NA,RobiDe00,Michigan,Big Ten,Denard Robinson,receiving,2,24,0,12,20,2012
