college_team,nfl_team,year,overall,round,pick,name,pre_draft_grade,total_receptions,total_yards,total_touchdowns,average_long,total_ypr,rating,FantPt
West Virginia,Los Angeles,2013,8,1,8,Tavon Austin,93,266,3211,25,69,12.071428571428571,-0.9,91
Clemson,Houston,2013,27,1,27,DeAndre Hopkins,86,174,2617,24,52.333333333333336,15.040229885057473,24.5,90
Tennessee,Minnesota,2013,29,1,29,Cordarrelle Patterson,89,46,778,5,58,16.91304347826087,5.1,117
Tennessee,Tennessee,2013,34,2,2,Justin Hunter,90,105,1804,17,69,17.18095238095238,5.1,59
USC,Buffalo,2013,41,2,9,Robert Woods,88,249,2897,32,61.333333333333336,11.634538152610444,22.5,80
Marshall,New England,2013,59,2,27,Aaron Dobson,80,158,2317,22,65.25,14.664556962025316,8.3,76
Baylor,Dallas,2013,74,3,12,Terrance Williams,81,193,3192,27,64,16.53886010362694,20.4,102
California,Los Angeles,2013,76,3,14,Keenan Allen,88,196,2488,17,69,12.693877551020408,-8.7,149
Texas,Buffalo,2013,78,3,16,Marquise Goodwin,69,110,1177,5,50.25,10.7,10.5,46
Oregon State,Pittsburgh,2013,79,3,17,Markus Wheaton,74,223,2945,16,48.25,13.20627802690583,11.9,6
West Virginia,Los Angeles,2013,92,3,30,Stedman Bailey,77,193,2954,37,67.66666666666667,15.305699481865284,-0.9,32
South Carolina,Jacksonville,2013,101,4,4,Ace Sanders,56,86,1077,11,46,12.523255813953488,19.8,60
TCU,New England,2013,102,4,5,Josh Boyce,66,150,2334,22,87,15.56,12.4,12
Kansas State,Seattle,2013,123,4,26,Chris Harper,61,109,1596,11,51,14.642201834862384,21.7,NA
Louisiana Tech,San Francisco,2013,128,4,31,Quinton Patton,82,178,2527,23,84.5,14.196629213483146,-16.8,6
Michigan,Jacksonville,2013,135,5,2,Denard Robinson,54,2,24,0,20,12,11.1,3
Oklahoma,New Orleans,2013,144,5,11,Kenny Stills,55,186,2423,24,61.666666666666664,13.026881720430108,19.6,95
Georgia,Denver,2013,161,5,28,Tavarres King,60,121,2194,19,55.75,18.132231404958677,25.1,NA
Virginia Tech,Detroit,2013,171,6,3,Corey Fuller,37,43,788,5,40.5,18.32558139534884,14.9,NA
Texas A&M,Arizona,2013,174,6,6,Ryan Swope,67,227,2832,23,62.5,12.475770925110131,20.4,NA
Arkansas,Cincinnati,2013,197,6,29,Cobi Hamilton,57,170,2796,17,72.25,16.44705882352941,1.5,NA
San Diego State,Las Vegas,2013,209,7,3,Brice Butler,30,63,894,7,35.25,14.19047619047619,-4.8,10
Maryland,Green Bay,2013,224,7,18,Kevin Dorsey,30,79,1038,8,39,13.139240506329116,10.8,NA
Washington State,Chicago,2013,236,7,30,Marquess Wilson,50,189,3207,23,83,16.96825396825397,8.2,1
Clemson,Buffalo,2014,4,1,4,Sammy Watkins,96,219,3098,24,74,14.146118721461187,18.1,133
Texas A&M,Tampa Bay,2014,7,1,7,Mike Evans,94,140,2344,17,85,16.742857142857144,20.2,177
LSU,New York,2014,12,1,12,Odell Beckham Jr.,93,133,2227,12,57,16.74436090225564,21.5,204
Oregon State,New Orleans,2014,20,1,20,Brandin Cooks,91,215,3181,23,63,14.795348837209302,3.2,86
Florida State,Carolina,2014,28,1,28,Kelvin Benjamin,75,79,1439,18,60,18.21518987341772,28.5,153
USC,Jacksonville,2014,39,2,7,Marqise Lee,90,235,3496,27,74,14.87659574468085,17.1,49
